cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,Neurofilament,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,UMAP_1,UMAP_2,TSNE_1,TSNE_2
8158,17645,6557,63.25,118.66,14.61,49.704,160.275,20.717,5.604,59.941,27.336,182.541,227.577,6.015,41.61,52.286,163.418,8.634,1.0,17.564,40.331,78.083,24.282,1.0,83.832,150.181,284.216,180.82,12.411,134.2,1.0,38.759,72.357,347.387,9.046,48.424,68.269,59.666,93.132,89.564,32.906,530.804,123.877,8.213,10.668,134.507,37.485,7.048,605.349,7.562,1.0,2.491,-17.34116,-24.16022,-3.6419325,-10.842659
8159,16289,2911,75.75,60.94,3.722,108.602,157.251,33.862,159.06,91.909,4.511,210.874,141.066,12.033,122.829,33.053,12.601,6.453,1.0,7.211,53.441,510.778,1.0,1.0,259.535,226.315,260.983,349.651,9.299,136.458,1.0,163.904,230.094,36.141,1.0,68.012,39.153,52.961,219.588,218.277,157.231,345.843,218.782,51.491,1.0,162.129,34.01,12.089,321.409,17.404,10.38,80.025,-17.20153,-10.614353,1.8421223,-1.6439134
8161,17721,15206,216.32,5.44,1.0,113.133,273.18,99.586,10.207,66.934,6.267,146.862,149.305,168.503,148.21,41.601,13.89,5.362,3.123,2.035,78.35,105.833,1.0,3.141,136.543,190.306,405.91,67.933,9.299,195.156,14.607,150.958,38.556,134.033,100.23,39.146,140.559,173.646,127.456,175.766,79.116,376.147,197.803,1.0,1.0,40.131,91.344,2.008,445.145,78.099,65.489,23.366,-27.396538,-35.592697,-0.53208065,-15.113717
8162,4018,6262,115.84,549.34,29.582,62.163,150.195,209.673,223.512,43.957,15.046,185.689,427.377,7.018,2.015,253.154,35.804,80.615,6.308,537.251,44.264,177.778,441.237,2.071,101.402,244.834,441.312,280.72,48.72,380.281,42.956,31.207,412.242,154.113,241.028,68.012,105.418,255.779,78.68,154.511,310.162,318.674,85.915,350.83,458.606,9.056,294.619,51.404,383.928,212.611,142.877,220.184,64.81942,26.477678,-2.31883,27.182096
8163,15563,14498,157.34,16.54,25.499,245.653,74.589,120.946,97.677,83.917,11.534,326.305,21.598,864.593,159.378,96.092,15.179,412.16,5.247,1.0,423.15,637.194,1.0,4.212,1.0,727.358,611.684,380.62,348.523,376.895,283.351,345.148,179.393,180.469,387.191,213.378,267.065,176.998,230.427,280.862,291.458,306.134,897.103,97.173,1.0,68.904,93.082,312.494,449.052,210.97,54.937,56.169,-12.726013,32.39591,-15.68429,-27.071405
8164,24512,9575,230.53,595.96,82.662,117.663,296.365,58.508,108.419,77.923,15.046,160.504,339.836,22.063,19.274,4.205,34.515,20.631,1.0,673.902,3.622,262.056,585.161,72.74,56.221,197.508,277.578,369.631,4.112,257.241,1.0,60.336,170.004,108.932,219.573,207.192,111.442,183.703,55.195,208.83,617.123,423.172,123.877,496.292,271.697,22.868,4.475,14.105,411.28,30.527,1.0,123.266,38.11938,40.425957,8.364076,16.96981
8165,11361,2038,37.1,249.64,9.166,1000.0,85.678,93.013,51.641,28.972,2.756,133.221,249.205,15.042,40.595,1.0,8.734,1.0,1.0,240.139,2.311,153.111,212.653,1.0,1.0,81.249,216.731,179.821,1.0,69.858,1.0,154.194,185.026,41.161,9.046,226.78,52.205,32.847,91.325,140.34,182.536,243.435,81.919,293.126,358.706,1.0,6.212,5.032,269.31,1.0,1.0,138.176,23.098154,8.701998,10.453983,-4.931945
8167,25462,1329,75.61,9.88,6.444,14.592,198.582,33.862,407.659,16.984,11.534,83.9,266.713,6.015,140.088,85.407,7.445,15.178,1.0,287.76,54.752,72.944,26.398,1.0,430.219,68.903,160.309,113.887,9.299,32.607,1.0,245.895,293.94,24.845,54.638,31.929,51.201,63.018,93.132,124.989,65.913,275.829,104.896,343.617,1.0,71.206,2.737,8.057,363.089,181.443,9.208,190.363,1.3606911,4.7789116,1.5807374,5.36416
8168,6242,15028,25.16,1.0,1.0,95.01,160.275,111.087,415.332,22.978,6.267,227.664,189.471,25.072,77.143,93.955,1.0,74.071,10.555,1.0,163.567,124.333,1.0,7.424,626.003,241.748,265.409,102.898,1.0,42.766,66.768,84.07,701.427,47.436,167.277,25.743,106.422,260.807,131.069,147.426,26.305,196.411,232.768,1.0,1.0,225.43,593.45,1.0,433.422,625.99,352.761,530.321,-56.930885,-47.65512,2.551571,-29.328573
8170,18836,74,132.75,76.48,9.166,186.755,81.646,117.66,57.779,13.987,13.29,47.172,404.72,6.015,214.201,103.571,12.601,11.906,1.0,26.881,40.331,57.528,5.233,1.0,259.535,237.632,265.409,318.682,16.561,192.898,4.402,143.406,29.167,246.985,3.682,309.257,66.261,202.141,132.875,146.245,235.347,252.84,111.889,462.632,4.223,178.242,11.424,60.476,396.953,4.281,1.0,147.122,-1.1266994,-7.260742,-1.9767969,0.8680352
