cell,x,y,area µm²,ATG7,P2Rx7(Park7),GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5728,3148,3582,125.22,370.242,328.541,112.371,72.525,9.942,61.809,493.35,157.706,42.673,69.973,84.079,3.245,135.481,149.744,156.962,9.36,43.93,127.857,189.345,21.315,104.649,224.283,326.976,14.249,3.693,188.58,287.679,87.736,305.623,68.16,151.705,20.886,161.096,109.469,7.036,100.9,90.667,1.0,17.912,76.822,74.688,10.72728,-30.609238,8.732539,-9.581363
5729,12441,18734,357.45,181.853,56.682,44.435,69.007,8.665,23.803,120.512,301.009,34.57,53.286,47.155,2.122,144.581,166.83,140.101,42.799,31.167,79.229,114.448,35.654,130.01,337.85,61.733,22.199,80.435,151.064,298.621,206.106,208.185,40.576,53.824,9.189,89.587,230.954,5.527,2.175,14.714,3.529,11.872,5.098,106.269,35.52691,17.440176,4.573608,11.143232
5730,11838,15969,146.39,198.001,74.151,2.114,8.035,1.0,14.03,36.752,2.031,1.0,391.478,45.104,1.0,7.067,3.01,1.0,27.124,5.641,13.686,5.406,100.183,4.308,68.37,20.831,4.975,145.061,62.098,213.274,39.776,73.822,4.598,64.7,2.17,7.404,24.863,1.0,2.175,3.11,286.79,3.416,2.025,30.475,25.54683,38.432484,-4.863921,11.623955
5731,9968,19255,356.18,112.957,89.436,48.89,64.317,1.0,43.349,95.997,313.381,17.206,47.724,53.309,1.0,168.848,174.87,131.671,15.63,30.007,78.171,146.389,35.654,111.265,395.595,62.973,19.549,77.743,143.561,335.824,240.801,266.648,23.786,84.897,17.377,185.644,238.547,7.036,2.175,15.769,17.439,100.054,7.148,157.85,35.304024,12.001129,5.5524464,10.083975
5732,84,21556,154.64,61.284,7.551,4.341,4.518,242.446,25.975,62.288,215.44,7.946,35.487,73.822,1.0,9.089,130.649,64.228,60.564,18.404,112.0,331.43,36.849,8.719,2.925,44.381,10.275,197.569,76.032,342.389,215.29,322.034,4.598,2.554,5.679,227.269,177.805,17.6,2.175,14.714,8.587,2.208,4.074,122.059,11.512184,65.644295,-13.770849,9.026445
5734,6676,5317,98.21,385.314,267.4,88.983,59.627,9.942,44.435,418.782,151.52,57.722,56.624,106.644,2.122,152.67,149.744,60.013,5.18,23.045,191.286,81.405,27.289,143.242,280.104,361.681,18.224,22.542,148.921,285.491,122.431,270.751,64.562,171.902,12.698,180.308,177.805,1.0,56.239,102.271,4.794,33.615,13.295,57.845,9.399208,-30.387604,8.496781,-9.03287
5735,23103,20109,60.26,341.177,13.01,161.375,3.345,6.11,1.0,25.515,35.022,130.65,378.128,26.642,1.0,1.0,395.977,68.443,209.996,206.369,12.629,46.159,16.535,10.924,14.474,98.917,118.919,135.636,221.809,274.549,117.329,176.389,35.779,1.0,37.263,399.106,106.215,165.488,1.0,19.988,41.466,5.832,273.548,262.066,-45.883842,-21.106152,-18.237059,-10.47777
5737,7287,10489,147.25,223.837,402.784,165.829,188.606,11.22,68.324,211.423,331.938,25.309,26.587,123.054,2.122,379.164,201.001,317.139,15.63,179.683,247.314,119.955,75.089,101.341,114.566,207.989,134.818,122.173,164.999,271.266,289.781,233.826,59.765,101.988,164.77,178.173,238.547,94.562,2.175,157.127,197.006,16.704,34.812,133.639,-1.3630352,-54.996326,-7.9324737,-11.95084
5738,11548,2503,60.12,27.913,1.0,58.913,3.345,425.128,184.512,14.279,2.031,383.005,629.547,95.361,2.122,112.225,88.438,1.0,1.0,154.157,88.743,30.739,41.629,57.235,1.0,287.314,68.572,613.594,139.274,15.225,56.103,11.257,27.384,1.0,18.547,201.654,133.332,474.846,4.526,172.95,23.762,55.359,64.526,56.792,16.578163,42.13967,-5.904159,8.793373
5739,332,4661,325.33,249.673,213.902,56.686,35.004,6.11,42.263,428.997,126.777,42.673,41.049,74.848,2.122,94.024,114.568,97.949,11.45,27.686,143.714,219.084,35.654,68.262,83.769,300.948,14.249,131.597,102.829,415.7,373.457,219.467,45.373,80.236,8.019,218.731,117.062,2.509,4.526,66.404,1.0,11.872,8.172,55.74,-5.440838,-30.57212,3.5691257,-10.891246
5740,6928,12962,209.07,202.307,425.711,122.395,31.486,100.645,46.607,296.206,131.932,200.105,183.445,150.747,3.245,288.162,161.805,131.671,91.913,56.693,245.2,236.707,29.679,121.189,156.913,142.298,22.199,36.005,203.587,212.18,153.044,414.344,250.45,28.966,3.34,277.433,229.87,10.054,511.078,162.401,4.794,11.872,10.222,237.855,27.149164,-27.02819,16.982992,-5.7458434
5741,5637,7803,266.21,208.766,244.472,75.619,60.799,12.497,41.177,259.433,298.947,26.467,32.149,112.798,2.122,203.227,218.087,60.013,6.225,36.969,201.857,208.069,84.648,106.854,141.514,355.484,14.249,180.066,146.777,345.671,165.289,239.98,64.562,238.709,12.698,205.923,192.99,7.036,24.506,109.656,16.175,17.912,60.428,89.426,-5.079815,-34.798897,4.5371466,-12.378144
5742,15388,4234,300.6,444.522,183.331,85.642,61.972,6.11,86.784,359.537,311.319,71.613,101.122,102.541,3.245,67.735,249.242,89.519,17.72,54.373,159.571,110.042,46.409,49.517,149.214,245.172,12.924,119.48,180.005,426.642,193.861,190.748,62.163,94.219,22.056,193.115,134.417,8.545,3.351,90.667,12.381,7.04,106.535,95.742,-2.121294,-25.586462,2.7768626,-10.15197
5743,15930,16975,143.55,233.526,37.03,33.298,84.25,1.0,56.379,277.819,203.068,28.782,41.049,64.591,2.122,99.08,182.91,131.671,8.315,33.488,66.543,179.432,101.378,125.599,307.052,159.65,15.574,258.155,173.574,536.061,360.191,299.469,45.373,32.073,8.019,220.865,347.016,2.509,4.526,6.275,1.0,20.328,18.418,87.32,28.65453,9.991268,5.0466437,6.9923005
5744,17808,14458,72.34,539.254,70.875,592.381,371.521,50.822,65.066,6.107,40.176,2.158,41.049,96.387,3.245,220.416,139.694,1.0,21.9,799.272,64.429,93.52,38.044,24.156,1.0,303.427,91.095,433.182,127.483,154.187,665.299,656.401,124.526,1.0,315.673,264.625,510.805,357.139,5.701,71.679,275.409,10.664,10.222,63.109,61.755615,-60.041817,-9.937315,-17.94291
5745,10457,10642,210.35,159.247,272.859,323.977,139.359,25.272,74.839,24.494,198.944,63.51,222.382,145.619,224.372,248.728,892.462,55.797,99.228,237.697,264.229,82.506,38.044,62.748,6.775,294.751,210.34,216.418,109.261,243.911,249.985,207.159,34.58,22.751,127.337,402.308,369.795,224.341,2.175,228.861,121.133,27.576,254.08,311.543,-45.034966,-16.182068,-17.800325,-13.578644
5746,14876,7209,124.22,466.052,353.652,92.324,71.352,12.497,52.036,781.405,263.895,105.183,100.01,115.875,2.122,195.138,206.026,220.19,25.035,70.617,180.714,173.925,29.679,94.725,308.977,395.146,20.874,22.542,216.45,540.438,271.414,366.138,88.547,126.846,13.868,334.0,235.293,4.018,26.856,132.864,2.265,8.248,25.591,105.216,2.2952557,-40.023315,7.939546,-17.19285
5747,3909,901,133.46,126.952,1.0,16.592,71.352,2.277,112.845,36.752,185.542,69.298,2.112,46.129,4.367,9.089,88.438,1.0,68.924,42.77,114.114,140.882,26.094,5.411,87.618,115.03,47.373,36.005,55.666,350.048,22.429,89.207,33.381,70.914,54.81,134.413,118.147,40.236,13.928,37.922,23.762,4.624,11.246,38.897,7.633663,4.5222225,-1.1235775,10.026853
5748,10447,20002,57.42,147.405,29.387,264.95,348.07,1.0,75.925,4.064,82.446,33.413,120.035,89.207,2.122,130.425,362.811,1.0,64.744,313.115,133.143,183.838,15.34,5.411,18.324,194.355,401.13,337.59,126.411,165.129,335.701,104.592,40.576,1.0,327.371,249.683,86.691,260.559,4.526,42.141,620.633,10.664,104.486,1000.0,-35.148987,-17.004288,-13.509059,-11.247933
5749,8893,15227,88.4,156.017,163.679,32.184,22.106,280.771,151.936,64.331,237.09,49.619,244.631,72.797,2.122,165.815,155.775,34.722,97.138,65.976,83.457,340.241,45.214,35.182,6.775,207.989,101.695,314.702,173.574,323.788,359.171,339.47,102.939,1.0,32.584,355.346,201.668,65.89,2.175,22.098,23.762,3.416,4.074,343.123,-5.987797,58.050087,-18.612772,4.6953135
5750,15057,360,136.16,130.181,1.0,32.184,45.556,31.66,147.592,243.089,456.684,422.363,95.56,65.617,4.367,52.568,172.86,13.646,144.162,59.014,124.686,213.577,49.994,72.672,39.497,138.579,8.95,239.306,189.652,318.317,145.901,106.644,134.12,50.717,38.433,147.221,98.622,20.618,8.052,148.687,1.0,9.456,19.443,92.584,1.2128143,2.7278519,-0.33232242,-2.554792
5751,9705,20993,96.93,193.695,136.384,70.05,84.25,1.0,10.773,122.555,128.839,27.625,17.687,52.283,2.122,235.583,154.77,173.823,14.585,21.885,94.029,60.477,21.315,195.066,420.618,76.607,22.199,11.771,195.012,285.491,197.943,382.548,38.178,56.932,5.679,99.192,245.055,2.509,3.351,13.659,1.0,14.288,34.812,108.374,42.63582,11.643135,7.07662,12.339279
5753,12340,7837,36.95,318.57,115.639,334.0,243.715,2.277,83.526,4.064,43.269,31.097,256.869,100.49,2.122,161.77,724.622,1.0,106.543,278.307,143.714,148.592,20.12,55.03,2.925,359.202,116.269,173.334,131.77,439.772,247.944,88.182,32.181,14.983,264.203,371.356,78.013,194.16,4.526,169.786,203.329,25.16,713.108,61.003,-47.801544,-20.027018,-18.545319,-12.731363
