cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2401,7739,11821,54.15,9.024,9.138,155.644,129.805,70.867,13.124,177.112,165.815,188.563,142.827,98.248,199.39,64.13,136.856,255.889,313.44,468.461,195.805,3.491,146.456,297.748,150.251,82.062,221.859,58.947,89.8,180.334,15.014,85.169,111.432,7.182,28.284,12.179,101.899,132.868,39.345,15.538,1.0,129.969,106.894,89.701,-55.59551,49.476067,-25.687279,-11.772279
2402,6475,8451,242.33,1.0,16.26,2.031,159.217,2.043,1.0,5.12,62.679,180.539,1.0,12.051,22.148,27.581,233.896,128.444,185.026,23.06,51.949,103.142,115.143,60.039,67.455,237.335,17.693,2.159,100.9,218.835,260.26,19.036,23.495,15.837,81.801,213.402,1.0,17.983,27.236,13.462,264.21,1.0,68.932,305.911,-25.34964,19.040562,8.041812,-7.276002
2403,2033,5224,71.63,5.012,23.381,130.901,221.084,120.922,202.255,237.876,99.08,179.536,28.951,81.671,161.122,81.85,182.822,103.778,252.772,159.621,180.82,25.913,155.547,72.468,126.284,123.163,80.612,309.276,366.291,131.701,117.116,45.088,219.819,166.676,118.529,4.049,83.917,93.907,23.2,309.423,9.973,53.202,213.787,223.862,53.813076,19.137074,-11.857636,-18.989902
2405,6239,12222,444.44,42.458,11.173,216.471,708.921,132.392,4.637,291.431,173.904,270.81,42.409,12.051,295.06,219.185,199.166,306.25,384.22,72.432,233.767,1.0,178.78,94.219,271.177,402.883,310.459,11.43,923.309,373.852,33.032,74.146,2.023,28.2,140.566,2.016,116.884,147.853,30.264,900.308,1.0,122.804,160.84,695.089,71.49385,23.415833,-19.391106,-20.78715
2406,6539,11743,56.14,9.024,9.138,139.149,187.615,203.303,7.062,115.319,148.626,148.443,120.052,102.668,213.489,77.42,172.607,226.083,259.85,300.385,169.831,1.0,136.355,103.541,85.975,90.054,125.554,119.211,415.736,151.965,178.177,151.301,209.594,14.6,112.233,66.042,126.874,131.869,25.218,33.192,9.973,157.606,194.806,416.788,10.199497,29.020725,-6.885814,-15.24495
2408,8495,1873,125.22,5.012,2.017,45.331,145.018,121.965,157.397,27.777,34.367,140.419,27.916,12.051,67.466,60.807,189.972,47.25,354.897,16.757,103.897,235.18,102.011,269.782,108.853,184.816,7.42,93.715,86.773,355.615,339.339,29.056,118.59,442.39,76.555,1.0,76.924,32.968,83.745,7.231,1.0,107.451,278.722,399.048,-23.745104,-53.828068,13.09576,18.10559
2410,8482,5960,159.75,1.0,23.381,16.464,227.17,2.043,43.433,41.166,94.024,354.06,3.07,2.105,77.536,45.302,376.902,136.667,192.104,28.312,111.889,287.496,194.941,126.846,286.429,285.287,1.0,2.159,106.955,314.074,187.186,28.054,10.203,132.057,175.195,204.255,5.995,37.963,45.4,15.538,261.219,6.118,91.909,239.385,-23.93431,6.8221254,7.9444175,-3.7126355
2411,19689,13793,139.71,1.0,11.173,15.433,293.093,6.214,113.751,32.927,161.77,342.024,4.106,1.0,2.007,13.183,181.801,212.722,122.336,11.505,1.999,1.0,56.556,171.902,194.917,539.889,12.557,10.271,56.5,302.929,115.114,12.022,39.856,41.801,80.752,40.635,19.981,98.902,26.227,15.538,135.596,28.636,77.923,401.265,7.431797,82.05669,12.693547,-25.238586
2412,9364,10525,68.93,9.024,10.156,50.486,212.971,22.899,1.0,198.74,167.837,723.169,29.987,1.0,242.694,244.659,213.466,246.639,606.669,32.514,235.765,1.0,204.032,342.804,230.868,357.215,230.847,2.159,149.336,400.195,20.019,5.008,1.0,3.473,55.567,1.0,64.936,154.846,37.327,48.769,1.0,68.555,38.962,312.564,-58.04054,56.634373,-25.640621,-9.078525
2413,15307,1284,49.32,11.699,2.017,82.446,166.317,93.809,258.024,33.957,68.746,335.003,62.079,18.681,80.557,9.86,297.227,87.333,147.614,15.707,86.914,200.302,102.011,476.418,362.688,119.738,13.841,36.927,85.764,296.85,103.102,75.148,82.801,301.442,310.564,1.0,165.835,36.964,61.545,5.154,1.0,219.019,303.697,256.017,-22.046944,-63.68213,10.788645,22.939396
2414,17270,14663,161.32,1.0,2.017,22.65,269.766,154.291,162.246,48.375,98.069,381.142,4.106,3.21,1.0,27.581,285.991,198.333,75.824,48.271,1.999,1.0,62.617,92.666,179.665,310.405,152.519,45.039,163.464,331.298,274.274,4.006,50.081,145.657,305.317,1.0,1.0,47.953,27.236,104.846,24.928,4.071,60.94,264.887,14.183434,83.12149,15.127401,-24.435516
2415,3300,1557,192.16,3.675,5.069,180.387,120.677,36.455,78.592,205.949,22.234,282.846,175.954,73.936,53.367,132.797,275.776,55.472,352.874,137.562,138.862,105.633,135.345,91.112,179.665,437.135,179.485,35.768,152.364,422.485,390.39,179.357,112.454,207.476,200.38,126.002,40.96,20.98,12.1,12.423,168.497,82.885,279.721,272.648,-17.115654,-0.8826618,1.9973543,4.843839
2416,7362,4347,121.52,5.012,54.918,70.074,150.089,50.011,118.601,94.721,118.291,168.503,46.55,42.993,135.946,44.194,284.969,144.889,339.73,61.927,180.82,63.282,172.719,178.117,188.381,353.79,38.238,63.582,147.318,276.586,318.318,90.179,69.509,223.55,232.911,88.4,73.927,62.938,44.391,15.538,195.416,66.508,205.795,300.367,-29.371223,-12.36573,3.1863055,5.393346
2417,11055,8826,216.18,2.337,9.138,33.991,556.789,258.571,152.547,45.286,130.425,280.84,12.388,23.102,129.903,136.12,237.982,240.472,286.14,103.946,65.935,13.456,172.719,140.829,156.787,220.209,33.102,45.039,267.4,339.404,307.307,15.028,131.882,15.837,194.084,15.228,17.983,83.917,61.545,56.038,6.982,34.778,247.753,689.545,10.091095,26.215897,-5.937455,-18.855633
2418,141,5796,178.09,7.687,12.19,60.796,205.871,13.514,37.371,56.614,94.024,167.5,21.705,36.363,73.508,45.302,218.574,123.306,246.705,55.625,109.891,108.125,153.527,139.275,136.088,313.83,54.931,39.245,121.082,198.571,431.431,38.074,55.193,52.928,150.011,64.009,18.982,56.944,29.255,32.154,78.766,25.566,176.824,393.504,-18.318687,13.312498,5.757158,-5.9224916
