cell,x,y,area µm²,CD4,CD34,H2A.x,E5,HLA-DR,E9,ApoE,HLA-A,S100B,Gal3,CD45,PSD-95,CD74,CD8,E3,CD40,E7,PCNA,Vimentin,CD44,ATG7,E6,E1,IBA1,GFAP,SMA,a-Beta,CollagenIV,CD14,Synaptophysin,CD31,TMEM119,Neurofilament,AQP4,CD68,E2,CD11c,DAPI_1,Olig2,CD163,E4,Claudin-5,P2Rx7,CD3e,E8,E10,CD11b,NeuN,MAP2,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1183,4084,16096,178.23,364.547,42.874,18.903,127.936,247.522,264.402,58.387,201.289,304.935,181.832,461.995,81.428,251.042,206.229,65.907,460.0,169.845,414.058,76.622,18.488,328.28,124.007,34.218,457.319,57.681,3.794,47.239,186.801,227.852,199.587,95.438,432.336,40.146,9.665,247.721,50.466,256.583,285.466,122.971,215.36,69.985,69.296,233.968,109.172,121.569,122.238,155.337,35.864,18.182,-9.500578,-4.841175,2.880812,-14.099008
1185,2251,6789,32.41,272.905,83.552,397.258,195.525,166.522,267.614,37.306,108.472,301.198,191.948,274.816,61.321,130.695,180.168,127.992,315.182,167.835,358.155,109.789,47.999,515.822,75.724,41.6,461.987,84.84,5.192,69.141,46.814,219.332,14.643,28.308,459.154,1.0,191.639,134.273,25.733,273.551,474.211,385.499,93.013,86.592,15.731,582.763,103.869,138.793,127.087,119.444,13.068,1.0,-13.589079,2.2217674,11.796115,-14.418617
1188,13686,10108,210.35,242.694,51.249,337.581,164.203,309.739,209.794,104.062,165.872,245.145,137.572,265.19,204.186,332.832,205.143,125.169,343.409,143.714,198.73,127.036,168.229,202.026,113.661,85.89,338.279,121.447,7.986,109.296,176.62,380.151,572.507,117.057,194.319,58.936,306.766,167.316,119.288,150.532,42.794,48.627,311.418,114.697,109.471,24.692,128.261,123.483,95.566,144.569,7.705,42.727,20.839603,7.5638657,-9.396347,1.3812554
1189,24855,3289,110.58,230.609,1.0,27.258,122.99,157.13,196.945,15.054,85.268,210.267,3.529,202.084,32.748,468.368,103.072,85.661,257.5,101.503,120.052,10.287,72.045,105.19,80.322,73.587,213.404,56.5,6.589,69.141,16.271,153.3,293.575,28.308,237.899,54.238,55.468,175.026,63.37,49.783,134.47,9.131,140.536,71.262,7.696,6.265,100.688,102.431,64.044,102.695,3.682,15.727,30.135685,3.8620186,-13.005312,4.83975
1190,3119,5133,162.17,545.818,131.408,36.806,134.53,645.478,434.65,624.057,576.219,304.935,370.251,366.801,181.963,238.189,326.761,159.034,494.364,157.785,519.652,302.159,70.952,345.44,128.605,157.248,398.966,147.426,7.986,129.982,92.628,823.205,1.0,373.065,79.221,1.0,31.948,373.284,227.899,154.774,220.753,102.062,719.916,172.184,271.507,23.375,129.322,178.983,148.91,155.337,25.137,1.0,-17.722897,-54.38626,-7.825997,-22.759556
1192,24752,6437,150.23,356.491,29.714,144.226,139.475,84.348,158.399,84.152,176.863,356.006,89.519,424.559,107.885,196.126,224.689,67.318,456.318,93.463,200.8,128.363,68.766,335.634,98.716,47.751,416.472,70.67,3.794,59.407,205.89,359.916,152.593,66.993,519.497,68.331,211.446,189.345,46.165,154.774,41.445,75.344,15.156,73.817,58.583,211.593,100.688,156.017,73.743,106.284,9.046,16.955,-8.247554,-3.092802,5.88322,-11.545677
1193,22315,9917,54.01,309.159,121.837,22.484,88.371,272.174,171.248,171.989,223.271,334.83,301.965,506.918,116.351,266.232,234.462,57.441,500.5,139.694,237.033,81.928,26.139,552.595,104.464,47.751,494.665,62.404,5.192,75.225,172.803,386.542,151.077,231.976,414.456,30.751,270.866,140.882,61.22,212.041,72.453,60.243,17.178,107.032,185.802,428.767,107.051,106.259,99.203,125.426,15.75,18.182,-15.532866,-11.327057,6.5625525,-14.950439
1194,20006,19484,159.33,191.334,4.589,14.129,118.045,286.261,187.309,36.135,71.834,13.456,38.937,316.53,227.468,173.926,10.773,74.373,106.545,125.624,107.629,6.307,1.0,221.638,88.369,29.297,304.435,34.064,3.794,28.987,26.452,223.592,484.583,31.721,226.725,312.6,64.134,104.535,46.165,151.592,46.838,9.131,97.058,73.817,5.017,161.577,64.631,129.224,96.778,114.659,13.068,117.591,43.870373,-26.533432,-33.152077,8.988432
1195,5121,9257,96.51,372.604,169.693,46.355,113.099,296.826,196.945,88.837,224.493,309.918,255.176,298.347,32.748,503.421,173.653,80.017,397.409,129.644,424.41,209.291,23.953,243.702,84.921,64.975,521.507,82.479,5.192,65.491,186.801,335.42,94.988,114.781,272.54,30.751,86.416,210.272,52.617,208.86,631.947,56.758,19.2,82.76,201.871,116.826,129.322,121.569,112.539,184.05,42.569,8.364,-9.766779,-0.7773781,-1.6388236,-4.9331923
1196,2550,17722,355.46,146.016,6.982,17.71,86.723,148.913,193.733,8.027,101.144,5.983,37.672,295.138,115.292,324.653,12.945,70.14,56.227,137.684,221.505,2.327,1.0,161.575,98.716,46.521,355.785,43.511,3.794,46.022,25.18,186.316,475.487,33.997,196.554,323.561,153.264,128.766,54.767,150.532,104.81,7.97,142.559,67.43,6.357,215.542,62.51,121.569,102.84,113.462,14.409,52.545,47.996708,-16.8945,-32.53597,5.917898
