cell,x,y,area µm²,ATG7,P2Rx7(Park7),GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
3498,4545,19352,309.98,145.478,509.801,7.993,4.996,111.0,21.979,26.974,9.991,4.216,471.302,56.725,1.0,59.941,78.265,24.233,177.601,4.996,37.181,20.019,72.0,3.997,1.0,30.991,6.005,104.927,81.241,17.737,78.922,84.916,17.324,1.0,7.993,91.357,67.332,51.136,1.0,13.987,81.972,5.826,4.077,39.462,-58.666336,-57.39126,16.057995,23.296152
3500,14136,11507,233.8,456.663,615.938,197.803,60.94,10.0,60.94,96.904,27.973,85.679,663.176,95.226,3.558,227.773,80.441,110.525,153.567,19.981,225.122,23.022,69.0,140.86,356.244,34.093,8.007,49.066,135.404,16.691,113.887,150.85,41.265,285.029,11.989,57.854,105.523,15.855,3.162,122.878,7.309,26.739,7.154,49.584,-47.0182,11.709627,21.29569,-10.579869
3501,11916,19784,139.71,350.465,139.963,162.838,32.968,2.0,6.994,40.96,6.994,17.078,456.703,59.765,1.0,61.939,35.824,35.849,183.871,4.996,21.101,13.012,15.0,49.951,148.2,9.273,7.006,47.767,188.563,96.193,66.934,121.879,24.941,51.37,2.998,46.686,81.402,32.567,4.244,1.999,133.499,12.261,3.051,41.486,-29.363049,39.835506,8.911728,0.86405754
3502,2463,19836,193.72,51.629,164.035,3.997,9.991,252.0,38.962,15.985,4.996,9.575,398.306,65.844,1.0,53.947,177.294,15.935,214.176,11.989,58.287,18.017,2.0,1.999,1.0,51.674,4.003,29.58,42.123,43.889,24.976,63.937,43.441,1.0,3.997,105.57,75.372,43.708,2.081,36.964,90.384,1.0,5.103,41.486,-73.819984,-39.24259,5.0598507,22.67439
3503,8211,16111,101.34,199.812,283.302,19.981,7.993,204.0,28.972,40.96,8.992,44.947,385.792,76.989,2.279,56.944,34.735,137.076,266.425,16.984,63.312,19.018,9.0,13.987,4.925,51.674,9.008,58.16,51.151,15.645,71.929,123.877,4.265,1.0,15.985,130.951,81.402,65.991,4.244,6.994,20.98,4.217,5.103,74.888,-65.83922,-40.55304,8.378307,23.400345
3504,12898,923,240.48,9.644,1.0,7.993,8.992,15.0,64.936,6.994,5.995,86.751,47.926,43.554,2.279,3.997,138.118,14.276,207.906,6.994,34.166,19.018,30.0,4.996,50.067,35.127,4.003,132.208,25.072,19.829,4.996,15.985,15.147,6.597,5.995,32.473,42.206,101.271,28.029,54.946,170.304,2.609,12.282,22.255,27.862629,41.023773,-12.780822,6.0828424
3505,10010,8659,174.96,473.951,282.208,95.905,37.963,4.0,27.973,40.96,14.986,48.163,429.59,102.318,2.279,129.871,53.235,75.676,86.688,10.99,140.699,23.022,139.0,53.947,103.059,164.398,12.011,80.244,174.521,22.968,70.93,135.865,23.853,138.118,9.991,89.326,96.478,8.428,2.081,69.931,86.178,20.304,7.154,125.495,-34.75866,26.330896,11.4315605,-6.1488233
3506,1879,616,143.41,160.297,1.0,1.999,18.982,13.0,142.858,188.812,46.954,8.503,113.622,48.62,3.558,1.999,69.559,1.0,119.083,17.983,99.493,74.073,77.0,3.997,4.925,80.63,8.007,188.069,65.193,74.225,15.985,96.904,43.441,10.794,26.974,160.393,134.669,54.849,87.494,34.966,83.023,12.261,11.257,52.62,26.398392,48.353325,-11.905808,10.718771
3508,15821,20375,467.6,422.087,297.527,246.754,86.914,2.0,1.999,100.9,4.996,153.208,459.831,60.778,1.0,31.969,43.441,4.319,221.491,99.901,39.191,14.013,133.0,92.908,252.222,82.699,115.114,45.169,119.355,22.968,97.903,69.931,46.706,91.945,63.937,62.93,69.342,149.55,4.244,3.997,59.888,31.565,3.051,39.462,-31.791443,35.554203,11.757361,-1.1074932
3509,5317,15519,16.06,161.532,300.809,1.0,1.999,195.0,6.994,54.946,10.99,1.0,243.972,54.699,1.0,14.986,17.324,62.4,292.549,9.991,38.186,9.008,7.0,1.0,1.0,75.46,4.003,29.58,36.105,22.968,28.972,28.972,1.0,1.0,5.995,85.265,44.216,39.994,2.081,1.999,13.619,1.0,2.026,30.353,-69.476036,-36.884323,7.4675374,22.734531
3510,6441,3365,117.97,324.533,136.68,278.722,159.841,22.0,70.93,74.926,46.954,139.274,133.435,91.173,3.558,88.912,61.941,1.0,91.913,182.818,127.634,34.033,25.0,38.962,85.395,278.155,128.127,289.398,126.377,16.691,220.78,56.944,93.5,56.966,201.799,146.18,94.468,220.112,5.325,102.898,284.926,31.565,7.154,50.596,69.180016,19.786633,-0.8564867,-19.216782
3511,18299,20518,63.11,218.335,22.884,58.942,7.993,524.0,40.96,9.991,2.998,108.189,259.614,58.752,1.0,11.989,194.706,1.0,391.822,13.987,33.161,15.014,26.0,128.872,189.417,52.708,15.014,16.589,67.199,41.797,34.966,69.931,97.853,5.197,2.998,92.372,44.216,99.414,21.542,39.961,1.0,4.217,5.103,34.401,25.314264,4.2729225,-25.430399,-5.22934
3512,16369,13620,170.84,703.634,658.611,285.715,53.947,17.0,50.95,74.926,23.977,56.738,428.547,62.804,2.279,226.774,29.294,62.4,359.428,15.985,18.086,30.029,330.0,87.913,173.715,17.547,8.007,198.462,293.88,51.212,128.872,154.846,43.441,42.975,5.995,54.808,71.352,64.134,8.568,101.899,11.516,17.087,9.205,65.778,-45.562935,14.125421,18.454014,-11.727533
3513,8263,9024,80.59,517.171,132.303,72.928,45.955,40.0,27.973,126.874,6.994,2.072,362.851,82.055,2.279,113.887,59.765,67.379,84.598,15.985,75.372,31.03,267.0,35.965,140.35,169.568,12.011,169.882,130.389,39.705,90.91,150.85,35.824,180.092,9.991,133.997,113.563,21.426,2.081,45.955,145.066,18.696,9.205,48.571,-32.423405,30.493906,10.743829,-5.2791123
3514,22258,16020,65.24,164.001,165.129,79.921,37.963,258.0,111.889,21.979,9.991,134.986,159.505,55.712,2.279,49.951,214.294,5.978,445.116,12.988,67.332,14.013,113.0,147.853,356.244,101.314,6.005,145.199,55.163,37.613,88.912,105.895,65.206,56.966,11.989,81.204,45.221,158.835,19.38,34.966,4.155,4.217,4.077,43.511,20.691202,15.446415,-20.72258,-4.5968885
3516,20297,6928,88.97,735.74,208.897,204.796,43.957,42.0,94.906,80.92,33.967,345.076,526.57,104.345,3.558,177.823,129.412,44.146,364.653,21.979,143.714,36.035,25.0,112.888,446.527,200.593,246.245,34.776,220.66,30.29,86.914,169.831,68.471,65.361,18.982,189.835,82.407,143.98,9.649,144.856,1.0,7.435,8.18,68.815,-26.76553,17.144789,6.741989,-10.976314
3517,9577,13207,96.79,241.797,302.998,45.955,3.997,223.0,22.978,44.956,12.988,10.647,454.617,122.582,2.279,69.931,24.941,75.676,333.303,7.993,129.644,22.021,14.0,6.994,2.963,25.82,7.006,43.87,70.208,35.52,58.942,85.915,6.441,1.0,7.993,92.372,111.553,103.128,1.0,65.935,66.198,5.826,6.128,39.462,-56.107964,-38.858276,12.785215,16.188524
3518,19997,18778,90.11,140.539,56.804,27.973,26.974,45.0,69.931,23.977,5.995,51.379,112.579,49.633,2.279,18.982,127.235,45.806,313.449,15.985,46.226,13.012,169.0,102.898,230.633,49.606,10.009,146.498,55.163,39.705,56.944,48.952,51.059,34.58,9.991,72.067,54.267,90.13,7.487,14.986,31.496,5.826,4.077,27.316,13.105293,31.660439,-10.916356,-0.05504396
3519,12499,3993,17.2,771.551,510.895,190.81,70.93,737.0,101.899,115.885,46.954,176.79,523.442,121.569,6.117,99.901,189.265,115.503,397.047,30.97,131.654,70.069,25.0,8.992,165.864,184.047,11.01,16.589,325.976,85.732,82.918,371.629,51.059,1.0,30.97,145.165,145.724,47.422,75.601,69.931,1.0,4.217,15.359,106.264,-27.792477,11.598633,12.298831,-15.855753
3521,7386,17847,144.12,152.888,206.709,10.99,12.988,168.0,51.949,36.964,17.983,13.863,566.196,59.765,2.279,57.943,45.618,35.849,179.691,19.981,61.302,18.017,6.0,2.998,2.963,37.196,7.006,30.879,60.178,45.981,73.927,126.874,5.353,1.0,9.991,107.601,90.448,58.563,5.325,6.994,220.78,2.609,5.103,44.523,-68.20394,-42.34059,9.565255,19.819868
3522,8186,16753,516.35,313.419,425.548,33.967,7.993,225.0,45.955,54.946,12.988,20.294,441.061,64.831,2.279,52.948,49.971,62.4,195.366,8.992,41.201,20.019,15.0,6.994,2.963,46.503,8.007,60.758,77.229,40.751,93.907,115.885,4.265,5.197,12.988,124.86,89.443,129.125,3.162,3.997,80.92,4.217,4.077,58.693,-58.506584,-50.288597,16.290094,20.677273
3523,511,20473,314.82,131.895,84.159,9.991,1.999,82.0,28.972,28.972,27.973,5.288,393.092,59.765,1.0,2.998,27.118,22.573,302.999,4.996,50.246,29.028,32.0,6.994,6.888,15.478,6.005,71.151,38.111,43.889,30.97,51.949,2.088,17.79,5.995,78.159,83.412,101.271,2.081,2.998,151.376,2.609,3.051,34.401,-68.02142,-32.12319,7.252254,18.541359
