cell,x,y,area µm²,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7(Park7),CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5127,8308,14814,198.13,158.519,187.535,414.204,292.634,24.451,498.039,88.767,61.503,309.958,142.095,490.125,109.325,21.858,142.794,350.286,4.205,15.204,54.406,30.382,187.168,162.893,288.828,2.04,159.091,151.017,278.648,281.488,7.675,162.838,19.256,122.543,30.0,189.123,309.242,17.5,324.828,413.563,1.0,484.292,286.0,3.348,35.82375,-28.955486,15.91726,-0.14065857
5128,5211,7229,172.4,96.34,189.608,176.637,65.118,36.176,436.525,105.547,109.342,142.023,21.156,276.688,98.493,4.293,498.566,61.293,5.274,31.775,90.009,13.928,102.731,115.51,289.948,45.7,217.394,23.225,18.27,49.669,4.337,49.951,25.341,54.308,24.0,12.677,51.755,85.0,214.769,96.682,12.567,310.425,184.0,60.87,88.632774,7.8739166,11.990434,18.743614
5129,3714,17059,52.02,21.726,193.753,285.268,271.95,12.725,158.478,1.0,335.876,238.908,74.067,6.929,15.443,19.663,16.468,258.806,2.068,247.199,7.283,8.052,51.866,12.846,35.719,14.514,293.636,8.779,180.342,237.942,5.45,165.835,7.085,101.22,25.0,142.417,1.0,235.0,290.964,460.89,57.785,241.173,249.0,16.261,-16.67705,4.895256,4.0261154,-13.8804
5131,14528,7071,92.95,19.654,236.242,79.174,298.839,3.345,5.921,8.744,1.0,495.117,198.784,42.501,82.846,27.347,92.521,212.027,6.342,370.299,19.849,13.928,124.095,103.664,16.679,1.0,197.212,93.232,194.955,204.642,9.9,197.803,37.512,143.867,63.0,759.981,23.283,455.5,162.914,44.211,1.0,1.0,99.0,19.783,58.429733,17.492924,0.62633246,14.0596485
5133,3575,13431,262.8,162.664,181.317,256.841,197.491,8.035,325.798,6.163,364.017,191.542,82.885,54.359,39.516,33.934,144.083,250.49,2.068,28.224,39.745,16.279,126.129,53.648,120.835,34.265,237.576,112.123,216.21,262.277,12.125,159.841,16.213,93.757,25.0,230.64,61.658,16.0,178.788,362.122,297.545,415.04,181.0,59.696,-7.6744576,-8.143984,7.729672,-13.164904
5134,1067,17871,82.01,5.145,222.77,109.631,293.668,5.69,42.83,3.581,131.855,412.226,671.199,1.0,17.851,32.836,120.88,321.179,4.205,406.992,4.142,8.052,43.727,2.316,45.798,126.785,294.758,2.111,3.657,273.804,16.575,147.853,11.142,13.794,19.0,242.317,17.093,101.5,314.246,83.307,51.476,18.681,146.0,35.043,-23.43467,22.49368,-1.0018058,-19.673773
5135,12456,13967,264.93,56.961,191.68,418.265,197.491,47.901,309.804,11.326,8.035,315.341,187.446,398.228,108.122,2.098,16.468,333.653,1.0,103.977,16.708,12.753,123.077,151.047,156.674,1.0,257.758,14.335,189.641,158.535,1.0,105.895,6.071,40.448,31.0,266.968,23.283,83.5,148.099,433.111,1.0,110.035,31.0,1.0,51.044094,-15.480391,9.891974,6.9086356
5136,1325,10514,140.42,90.122,196.862,454.814,154.056,64.317,373.78,135.233,17.885,315.341,183.667,315.226,133.398,19.663,31.937,235.937,11.684,188.017,59.642,18.629,116.974,227.387,394.104,1.0,184.879,38.782,265.363,309.665,7.675,536.464,13.171,158.793,32.0,200.8,48.041,83.5,296.255,353.891,1.0,392.938,319.0,4.522,26.551737,-19.614244,13.378864,-2.778599
5137,10425,7423,60.26,1.0,129.502,10.137,154.056,26.796,265.514,3.581,3.814,381.008,21.156,1.0,200.8,318.265,184.043,112.231,4.205,214.057,367.509,384.146,28.467,1.0,192.512,110.152,17.818,17.669,6.314,209.765,344.754,25.975,15.199,43.647,18.0,6.19,30.71,1.0,248.633,1.0,1.0,11.314,40.0,626.696,-102.46413,-19.963425,-26.900888,7.3720837
5138,12685,7598,71.63,5.145,210.334,23.335,287.463,29.141,292.58,2.291,23.513,438.062,79.106,383.407,161.081,215.071,11.312,77.926,2.068,232.995,300.491,489.922,12.19,61.545,207.072,227.62,52.576,42.116,71.408,122.673,224.607,58.942,57.796,86.293,20.0,6.19,43.089,139.0,458.169,11.288,1.0,9.841,60.0,510.478,-99.52844,-16.347343,-25.383013,6.90644
5142,1525,13533,338.55,224.842,197.898,364.457,257.472,15.07,296.271,42.302,234.569,476.817,90.444,24.715,40.719,56.988,111.857,362.761,5.274,124.1,40.792,13.928,171.908,68.126,91.716,19.712,235.333,103.234,185.656,249.469,9.9,261.739,19.256,114.014,29.0,466.768,60.42,106.0,359.751,424.881,205.006,260.327,295.0,60.87,1.4696312,5.750881,2.4269025,-8.4177
