cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5090,15130,9472,328.32,142.824,1.0,323.547,417.127,235.311,132.692,37.108,26.792,252.1,127.609,530.257,5.466,36.467,374.49,253.783,112.62,20.797,102.475,91.572,111.711,123.372,260.983,102.394,521.18,201.916,184.6,71.535,312.764,28.395,117.603,111.087,6.565,194.043,231.415,21.812,64.285,54.258,13.713,107.533,488.57,132.758,25.144531,18.86737,13.162231,2.232428
5091,8401,2131,171.69,46.197,4.032,128.675,538.129,111.798,378.784,192.484,145.434,306.1,61.703,609.965,9.933,42.379,280.266,172.893,133.549,25.366,67.483,133.479,72.636,107.797,419.186,186.712,576.857,236.797,250.75,98.885,190.769,10.132,139.662,163.666,31.61,417.652,141.182,8.668,43.943,30.05,8.416,111.553,510.355,101.293,-7.6759872,29.480522,5.3329363,14.070707
5092,12057,73,260.95,184.903,4.032,7.72,423.03,59.124,425.342,197.955,183.262,499.15,59.969,664.166,12.911,62.083,245.074,231.538,218.659,10.137,177.706,202.422,149.482,230.169,767.674,477.019,110.763,444.69,230.5,18.274,244.989,52.137,357.11,367.41,28.827,375.826,157.295,20.717,242.839,28.436,394.032,75.372,398.318,170.122,-50.778843,55.787834,-17.978094,15.830285
5093,8433,9713,223.14,41.521,1.0,36.839,68.879,17.347,352.18,194.673,26.792,5.05,53.031,489.872,2.489,12.822,400.6,19.2,137.735,2.523,37.741,76.702,20.537,96.673,58.528,91.721,26.452,56.81,167.05,28.35,6.422,8.305,41.968,94.656,9.348,184.391,25.169,2.095,19.081,10.683,21.128,1.0,93.327,36.398,71.49095,-14.002399,-0.41871756,-15.984173
5094,3391,5043,129.62,30.612,4.032,41.318,386.139,57.307,176.59,149.811,38.828,265.6,132.812,603.588,6.955,22.675,164.473,85.935,90.296,13.183,93.727,82.11,64.821,161.196,463.439,158.962,358.922,179.592,430.3,51.382,143.327,11.958,221.599,83.155,12.131,554.391,113.79,52.484,25.862,17.139,8.416,7.03,436.701,83.594,-8.2440605,27.40134,4.917565,14.62852
5095,9406,13876,203.67,86.718,2.516,95.076,443.688,42.776,224.478,98.383,28.511,219.7,72.109,483.496,6.955,1.0,316.593,203.227,174.011,17.752,86.729,87.517,53.099,141.171,280.897,219.798,699.346,150.292,207.55,83.05,133.839,1.0,164.874,135.734,9.348,512.565,79.953,8.668,134.351,12.297,14.772,81.402,435.664,213.386,10.0429535,34.144913,10.794583,13.194556
5097,16103,3159,157.91,251.919,5.548,278.749,524.848,222.596,173.929,208.897,21.633,374.95,108.531,861.84,11.422,50.26,473.255,316.474,242.378,40.595,154.961,115.905,98.686,350.316,581.814,169.635,481.411,397.251,377.65,81.611,284.299,21.09,360.262,257.322,34.393,646.087,146.016,16.336,95.928,33.278,29.603,89.443,771.776,305.813,-36.13026,30.233246,-7.5313606,15.555767
5098,2637,17803,17.34,29.053,1.0,1.0,57.074,1.0,474.561,121.361,90.411,57.7,4.469,307.077,2.489,2.97,63.438,5.045,3.791,1.0,16.746,61.832,16.63,47.724,347.276,137.615,1.0,122.387,11.8,57.14,10.488,6.479,4.151,9.215,1.0,9.043,13.89,4.286,41.683,9.069,112.235,384.922,24.86,1.0,0.5198593,-60.188057,-10.203255,-8.541492
5099,10902,9814,171.55,57.106,1.0,164.513,330.065,62.756,119.39,84.159,49.145,211.6,89.453,519.63,3.978,6.911,475.525,118.291,193.545,40.595,56.986,67.24,42.679,138.947,230.007,179.24,545.041,228.426,207.55,60.019,215.168,2.826,111.3,143.949,3.783,416.043,78.342,3.191,28.122,23.595,5.238,27.131,401.43,46.23,21.391123,22.821095,10.642136,0.11243579
5100,3269,15596,202.11,33.729,1.0,189.152,250.381,51.858,244.431,165.129,38.828,138.7,39.156,399.537,2.489,2.97,364.273,45.49,5.186,5.569,28.993,94.276,24.445,58.849,362.764,8.471,238.024,83.32,188.65,51.382,133.839,1.0,13.606,193.242,6.565,18.696,92.844,2.095,28.122,15.525,4.178,189.946,388.981,1.0,0.055351257,-22.889507,-3.1733086,-3.9414346
