cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
3304,20906,3738,233.09,181.978,18.927,56.888,107.904,1.0,184.445,27.105,18.324,121.569,247.972,7.732,58.853,14.365,10.07,1.0,1.0,103.04,160.555,47.439,243.072,1.0,111.72,110.166,138.455,259.794,142.086,109.891,1.0,13.308,122.469,42.755,13.566,43.465,42.248,128.105,258.876,18.599,39.185,40.364,47.411,374.458,188.027,46.362,1.0,12.433,216.236,20.461,1.0,2.232,-11.781193,-50.16945,7.669004,2.6421945
3305,4726,10704,240.06,151.988,15.667,62.128,98.074,110.038,210.967,92.366,28.718,236.397,430.731,7.732,151.831,203.696,38.576,85.54,9.409,60.249,269.297,124.459,82.293,96.649,159.531,252.337,403.545,193.008,58.004,184.816,37.069,56.386,250.75,29.185,172.736,59.39,76.453,287.544,337.973,140.756,54.665,39.3,199.408,402.467,64.863,245.337,93.58,12.433,261.892,261.562,47.779,120.486,55.373474,-4.834223,-5.5242586,0.81290895
3306,17129,16121,386.02,43.401,4.259,62.128,170.572,92.385,71.726,75.297,61.055,174.39,50.394,9.078,151.831,24.388,4.887,23.623,6.045,73.415,151.409,95.01,194.297,4.543,71.458,106.358,155.636,105.352,49.454,111.889,25.046,42.027,30.516,65.721,144.462,20.109,54.32,239.6,313.052,61.044,7.192,29.725,84.54,17.339,21.527,2.031,78.509,38.159,531.481,136.146,13.475,15.782,20.439016,-26.947136,-2.0472946,-17.049496
3307,22761,7593,208.5,101.314,33.594,77.846,117.734,2.038,1.0,52.205,9.084,183.576,333.177,9.078,154.931,48.89,42.463,210.564,1.0,48.728,329.257,101.806,33.517,1.0,139.401,164.75,406.0,77.525,231.867,205.795,219.6,155.876,13.487,164.89,186.349,53.02,227.36,273.049,228.538,28.951,74.274,40.364,182.003,431.644,3.281,182.449,1.0,344.004,398.861,6.406,1.0,7.159,-42.153576,10.568644,18.120186,-20.934404
3309,5218,891,94.52,71.323,31.964,13.226,198.834,6.192,1.0,29.113,3.31,134.2,711.043,1.0,75.383,50.003,12.661,276.052,1.0,84.936,162.588,38.378,214.168,1.0,8.549,86.048,231.727,208.313,303.123,191.809,193.368,32.796,35.057,29.185,188.443,16.925,142.852,250.75,359.643,50.691,7.192,25.47,32.328,298.599,178.904,1.0,2.077,168.215,446.691,1.0,1.0,131.572,-53.43466,-10.396809,25.881418,-13.1287565
3310,10436,5287,142.98,140.612,17.297,60.381,134.937,57.077,9.841,77.306,4.465,205.393,430.731,17.156,143.567,43.321,28.21,17.67,54.818,5.937,73.156,135.786,15.452,2.181,36.229,249.798,469.818,152.659,20.951,66.934,16.302,67.668,55.491,63.633,57.547,32.849,91.544,474.856,488.581,100.382,29.897,18.022,187.805,438.646,3.281,249.461,1.0,23.867,626.054,42.084,1.0,51.504,3.7331238,20.21024,-9.016575,8.301245
3311,18464,10260,424.26,168.534,84.114,58.635,154.598,87.192,257.381,85.338,26.408,185.872,408.503,9.078,14.43,47.776,41.167,10.526,1.0,117.852,76.204,101.806,235.846,1.0,48.811,101.281,201.045,198.574,93.632,167.833,4.279,131.26,75.925,89.73,75.349,45.589,81.483,4.345,279.463,178.025,37.121,35.045,27.686,376.792,160.658,3.062,4.23,12.433,518.436,55.058,5.158,216.567,-16.49822,-32.617386,13.119878,-4.457673
3312,20550,4187,279.43,209.901,30.334,51.649,139.852,1.0,166.763,23.088,228.518,149.128,289.957,7.732,17.529,12.137,54.125,1.0,1.0,121.143,54.863,42.908,284.622,1.0,101.655,125.399,117.591,133.18,43.753,99.901,1.0,6.128,113.388,114.784,6.236,20.109,71.423,168.243,231.789,11.352,19.576,22.278,71.777,381.46,151.534,1.0,1.0,13.863,289.069,16.136,1.0,1.0,-10.5095825,-49.52179,6.990067,3.6037362
3313,18309,13871,135.16,30.991,33.594,70.86,278.705,178.577,255.17,65.257,123.421,189.317,406.033,13.117,79.515,14.365,19.14,28.386,2.682,89.873,149.376,125.592,58.808,1.0,79.008,125.399,79.545,188.834,79.381,171.829,4.279,218.441,171.284,64.677,75.349,38.157,80.477,229.566,259.96,243.245,29.897,21.214,99.624,202.901,32.932,12.341,5.306,2.429,234.716,190.205,19.712,350.835,29.837273,-16.997116,-5.5078406,-23.409521
3314,7355,8426,173.97,107.519,23.816,88.325,118.963,106.923,246.33,92.366,61.055,245.583,470.246,13.117,121.872,91.211,291.241,2.191,2.682,52.02,159.539,144.847,11.839,1.0,13.582,232.027,296.773,222.227,87.932,266.734,5.372,164.081,258.697,139.837,44.981,25.418,142.852,131.45,315.219,189.412,40.217,77.601,173.882,526.175,21.527,52.548,28.989,11.004,306.461,86.412,23.87,61.359,49.15555,0.20084,-6.000116,4.4962134
3315,17708,15239,172.83,3.068,4.259,98.804,223.41,106.923,12.051,29.113,137.28,178.983,135.6,72.357,185.923,53.344,11.366,4.572,7.727,7.583,368.892,104.071,8.226,5.723,232.506,233.296,392.5,108.135,3.85,114.886,31.604,98.438,27.11,71.984,143.415,32.849,114.683,314.302,282.714,151.109,11.32,137.179,177.362,4.501,1.0,56.672,68.82,2.429,521.697,56.14,65.452,17.014,24.379622,-1.8123989,-10.512257,-15.737802
3316,1431,4772,16.2,150.953,56.409,32.437,213.579,7.231,45.204,10.036,9.084,230.655,575.209,6.385,1.0,1.0,16.549,15.288,4.364,219.891,72.139,101.806,490.564,2.181,53.844,122.86,43.955,390.582,1.0,193.807,9.744,3.051,98.63,28.141,162.264,39.219,10.054,323.222,516.753,17.564,7.192,46.748,14.923,443.314,491.377,135.025,77.432,18.15,382.555,76.682,2.04,31.795,-42.216652,-43.34955,27.564543,3.5895135
3317,14481,12148,291.08,197.491,27.075,83.086,181.631,9.308,180.024,108.43,80.689,181.279,331.942,7.732,89.846,27.729,51.533,61.726,4.364,79.998,244.906,92.745,201.523,2.181,89.073,171.097,318.864,188.834,133.535,205.795,79.696,89.207,113.388,55.282,136.085,43.465,122.731,319.877,306.551,93.136,55.697,37.173,248.139,349.95,108.199,91.724,11.765,121.052,389.077,31.273,1.0,180.845,-36.786457,1.0798712,0.7633943,-3.754109
3319,5283,7120,417.72,258.506,35.223,56.888,212.351,3.077,34.153,65.257,26.408,283.476,549.277,7.732,24.761,33.298,35.984,1.0,1.0,158.997,49.781,132.388,335.204,1.0,56.36,298.034,425.636,198.574,18.101,207.793,1.0,26.642,176.96,83.467,49.17,34.972,68.405,67.897,540.59,44.48,24.737,37.173,67.136,465.488,318.034,1.0,7.459,13.863,456.474,8.568,1.0,33.027,-33.64196,-30.111378,22.553532,3.156761
3320,9524,13706,228.12,10.307,2.63,102.297,144.768,74.731,49.624,122.486,132.66,197.355,219.57,14.464,195.221,46.662,6.183,36.721,2.682,4.292,270.313,117.663,4.613,2.181,36.229,201.562,347.091,184.66,40.903,258.742,11.93,147.67,189.448,150.276,64.877,94.424,155.931,87.967,171.112,189.412,48.473,40.364,190.125,157.386,1.0,422.663,25.76,5.288,422.776,75.601,16.593,93.386,27.204624,24.202793,-20.150875,3.062815
3322,16247,14963,256.68,5.137,9.148,123.255,374.55,82.0,135.821,34.133,430.628,257.066,203.517,36.005,323.325,133.532,1.0,18.861,6.045,28.979,307.916,142.582,1.0,2.181,33.713,196.484,248.909,526.936,5.275,318.682,21.767,56.386,223.505,131.486,125.613,71.068,76.453,102.461,240.457,53.797,6.16,54.195,162.279,3.334,1.0,153.582,34.372,16.721,387.99,116.685,40.503,103.24,24.413654,18.846897,-19.664303,-2.8543289
