cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
3665,13387,1834,95.65,12.77,2.056,88.059,119.755,133.022,158.672,31.4,43.425,310.094,58.45,22.868,90.601,31.977,199.123,94.226,410.064,12.854,133.265,187.212,108.973,262.731,212.19,310.466,20.769,69.897,116.191,466.07,210.79,79.789,135.101,552.347,170.862,1.0,140.139,71.708,84.59,5.224,1.0,197.065,230.792,346.022,18.966465,24.898663,6.712654,17.935215
3667,3982,5233,77.6,1.0,11.56,7.529,128.089,100.796,61.359,21.965,48.475,217.164,3.128,2.151,44.256,33.083,296.612,86.81,241.812,32.252,74.146,353.292,171.536,28.648,46.086,315.173,7.59,180.623,102.939,317.756,331.78,5.04,116.389,105.958,150.691,79.515,14.013,17.162,17.31,13.672,81.956,9.169,43.075,325.585,-7.006111,17.732224,-2.2097588,14.529823
3668,13111,2385,140.14,12.77,11.56,93.5,154.131,129.903,138.963,55.51,104.031,259.588,57.387,11.358,125.618,37.508,337.494,100.582,403.755,23.631,190.379,315.547,256.3,268.26,120.833,339.883,16.815,229.835,101.919,358.013,307.36,87.87,109.112,374.044,165.554,42.324,174.173,138.375,42.795,9.448,2.619,222.741,472.45,374.874,14.750252,8.139568,7.148726,12.841481
3670,15969,6450,52.87,12.77,24.233,376.441,168.715,33.226,33.027,539.81,208.073,645.451,382.939,169.035,286.281,56.316,237.909,229.827,716.074,450.388,285.57,8.549,257.309,694.033,327.277,415.191,952.554,29.297,136.579,790.242,113.11,283.831,25.949,213.446,39.219,26.827,198.197,155.547,55.028,18.952,54.431,162.054,116.435,218.592,-83.16683,-65.9673,8.323486,-22.099741
3672,7501,13348,115.98,5.414,18.952,95.676,173.924,4.119,62.591,9.386,246.457,174.739,33.981,5.604,5.12,23.126,81.717,261.609,115.622,12.854,31.06,3.516,55.491,148.454,48.458,208.095,15.497,28.067,113.133,130.245,156.4,65.647,40.503,73.08,43.465,103.276,91.09,158.577,25.465,14.728,7.476,88.529,90.543,259.466,65.01515,38.881973,-18.839067,-13.0136795
3674,9750,10123,125.36,17.184,10.504,122.882,184.341,12.435,1.0,140.42,189.891,661.613,27.597,2.151,163.724,35.296,203.316,222.411,587.781,35.485,235.469,1.0,175.573,292.221,271.513,529.329,290.947,1.0,81.532,533.871,23.2,4.03,1.0,2.265,50.897,1.0,55.054,63.627,30.562,35.849,1.0,74.525,48.469,110.397,-73.727844,-63.817333,10.720986,-20.81345
3675,5361,9155,312.54,2.471,24.233,36.912,191.633,4.119,1.0,59.703,128.274,173.729,25.47,4.453,112.229,36.402,246.295,158.848,325.938,54.883,129.257,146.95,141.264,117.12,117.273,238.689,12.861,9.612,130.462,297.628,240.76,91.91,26.989,83.196,215.451,199.354,38.037,73.728,41.776,20.008,72.241,50.016,171.456,433.78,-16.820457,-24.85505,-9.4269,-0.012276213
3676,5411,12484,77.89,12.77,9.448,95.676,168.715,164.208,26.868,120.503,167.668,120.193,55.259,3.302,226.547,60.741,214.847,213.936,179.768,23.631,173.345,16.098,92.827,118.963,150.494,162.205,126.204,242.138,279.293,141.898,201.91,110.092,147.575,14.91,118.842,115.673,148.147,134.335,28.523,42.185,4.238,180.727,260.999,308.755,-38.45323,-41.870064,-9.729906,-10.160473
3678,17049,3271,152.79,15.713,13.672,109.824,176.007,183.959,194.395,80.668,127.264,367.67,80.792,42.433,238.906,38.615,399.342,182.155,444.766,24.709,197.393,227.474,237.127,426.773,227.614,236.336,26.041,72.357,102.939,427.932,155.29,77.768,126.785,351.282,88.054,15.463,237.236,191.911,115.171,14.728,5.857,325.442,154.194,290.722,36.570305,-34.290558,15.7181,12.350073
3679,16105,7608,52.02,11.299,25.289,403.647,260.386,31.147,58.895,480.059,226.255,257.568,193.565,79.263,282.162,82.867,271.453,196.986,380.62,335.078,263.526,38.746,190.709,297.751,118.46,296.346,277.768,42.83,501.519,426.873,134.2,249.487,64.412,452.447,579.592,114.64,124.123,163.628,59.105,182.636,62.527,130.543,286.891,412.141,-36.103107,-3.5531435,2.907662,-16.868761
