cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
7220,15780,13879,48.61,258.085,54.117,109.469,78.432,154.859,43.511,20.029,43.814,7.148,104.24,40.236,1.0,41.042,10.279,20.629,12.728,127.39,4.128,459.478,30.946,13.61,116.663,27.258,3.413,121.473,1.0,149.585,14.29,63.83,16.691,7.697,23.705,38.323,38.462,35.403,7.121,34.211,290.991,423.915,9.476,71.669,63.265,18.0,26.202,10.436,29.274,11.183,66.101,35.98,57.477306,19.989002,-3.337537,-19.959702
7221,6387,5393,129.91,20.561,4.064,287.358,55.583,298.966,15.17,58.086,312.933,9.197,74.888,104.622,119.076,107.779,6.155,25.794,158.793,413.066,43.755,1.0,121.982,159.327,231.302,18.903,10.652,141.861,83.745,1.0,32.011,58.804,9.369,217.543,67.852,55.74,42.209,68.482,7.121,64.766,204.121,399.516,68.811,386.466,97.856,29.0,62.492,28.128,83.465,17.294,18.755,81.249,-69.13261,-11.0816555,8.876594,21.379534
7222,11244,15624,211.49,218.964,34.709,186.482,31.465,230.705,26.304,15.8,17.31,3.049,158.897,31.181,1.0,4.08,8.217,6.165,32.985,44.284,1.0,346.87,1.0,127.101,166.818,5.774,2.207,47.336,7.055,136.94,10.968,2.257,1.0,1.0,11.091,25.882,20.98,31.433,4.673,30.226,1.0,291.076,14.32,12.243,41.126,13.0,43.339,4.538,5.712,15.257,61.366,25.692,78.39365,-18.718058,-18.025541,-13.112985
7223,20631,567,169.84,428.544,137.877,495.619,136.823,358.56,48.571,42.229,327.204,10.222,294.526,113.677,68.661,160.142,9.248,14.43,51.11,394.021,96.937,478.783,32.144,139.711,350.036,132.29,2.207,8.414,147.318,133.778,3.215,121.634,16.691,1.0,7.307,84.354,22.229,22.171,16.915,16.941,252.666,590.64,131.778,17.061,18.988,20.0,54.428,80.024,8.068,93.67,180.915,84.336,22.85957,35.73597,12.487188,-17.322973
7224,3808,86,177.8,301.399,15.301,348.101,197.753,341.223,50.596,39.057,418.949,5.098,152.824,120.719,19.574,76.977,5.124,24.761,45.779,366.319,24.984,242.304,33.342,225.18,334.682,34.419,4.62,12.121,205.845,54.744,13.183,41.211,15.645,41.183,66.591,75.645,37.214,28.787,4.673,22.255,174.739,266.677,40.96,121.458,17.604,32.0,130.033,13.974,70.506,21.367,150.14,113.143,1.1379318,27.808346,17.381397,-10.995755
7225,9216,9233,105.18,40.122,82.718,1.0,36.543,439.823,42.498,18.971,1.0,13.295,38.45,14.079,116.422,8.187,73.167,31.993,23.39,33.896,468.173,10.652,39.331,124.299,2.024,188.387,21.511,258.627,115.027,10.484,87.388,23.619,12.507,18.859,32.534,180.148,110.89,178.306,7.121,140.488,211.786,182.636,352.164,65.244,201.63,18.0,42.331,293.505,52.835,338.073,41.244,27.75,-18.365334,-106.589615,-22.348059,22.432375
7226,16318,3721,57.42,255.291,44.923,197.329,197.753,123.437,34.401,33.771,294.584,7.148,118.41,58.344,2.327,181.703,5.124,18.563,14.86,766.265,43.755,113.609,34.54,19.215,96.192,35.613,2.207,76.991,27.236,155.908,10.968,119.121,5.184,118.201,3.523,9.709,50.95,48.634,3.449,12.956,91.702,590.64,11.898,54.002,63.265,22.0,31.242,6.897,15.137,11.183,12.836,41.125,-3.034584,16.041039,14.427206,-2.8107104
7227,14981,7084,156.91,19.164,403.46,1.0,41.62,289.215,20.231,22.143,1.0,597.326,484.812,120.719,330.02,10.24,51.517,28.893,93.757,33.896,252.314,1.0,42.924,662.33,58.32,415.161,3.413,143.714,231.073,1.0,12.075,23.619,21.921,65.74,2.261,45.787,15.985,68.482,36.504,16.941,334.426,174.503,186.269,37.941,52.195,20.0,10.073,153.15,11.603,117.092,5.735,129.605,5.803315,-51.808884,-10.566633,10.875941
7228,10556,4185,211.63,224.552,42.88,297.121,160.942,264.294,19.219,88.743,425.065,9.197,180.152,116.695,44.781,115.993,5.124,20.629,203.572,605.248,71.91,2.609,84.849,96.276,331.612,41.581,4.62,73.284,129.155,1.0,12.075,106.555,10.415,386.089,11.091,30.858,38.462,39.372,3.449,22.255,176.017,320.897,100.295,79.699,41.126,26.0,59.468,29.307,16.315,29.514,43.611,91.538,-23.128736,-2.0387497,16.582932,5.258671
7229,11797,11936,98.92,291.618,30.623,215.769,84.779,216.619,56.669,27.429,98.861,10.222,138.653,47.278,1.0,46.176,7.186,25.794,19.125,416.529,5.171,335.609,232.183,317.654,168.865,38.0,4.62,15.827,64.573,76.873,6.538,27.389,15.645,43.416,14.875,24.638,14.736,38.049,9.57,10.299,283.326,640.794,13.109,44.365,23.139,33.0,32.25,6.897,9.246,14.239,72.019,45.24,41.04264,13.581678,-0.5212917,-13.271418
