class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7_Park7,CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,952,9282,16468,204.45,77.5,0.43,0.78,428.407,506.616,837.217,306.958,52.112,683.558,515.553,108.036,380.465,49.053,489.482,188.907,143.714,357.261,780.22,15.271,38.23,164.405,95.147,385.231,365.547,535.781,2.69,160.903,252.803,218.448,436.405,32.614,150.104,67.6,9.514,38.841,188.931,79.68,25.366,457.686,424.399,1.0,547.426,651.034,73.391,-82.84727,67.59288,-23.182663,13.351634
dense,953,7912,16511,1708.67,244.88,0.36,0.89,263.624,645.253,808.228,501.659,93.93,768.188,808.411,607.536,438.547,387.954,247.077,143.714,452.929,482.136,708.292,58.086,329.863,376.089,136.99,557.366,397.095,539.494,7.761,270.144,531.975,229.478,454.086,32.614,725.648,287.38,60.599,371.841,337.297,207.237,130.951,771.657,457.607,848.775,649.62,635.068,565.652,-87.91105,62.46666,-26.156984,15.033102
dense,954,11228,16523,215.82,76.18,0.47,0.85,474.753,514.771,600.846,225.833,42.819,486.702,488.184,55.89,90.058,41.466,283.805,245.993,112.0,34.055,384.616,43.814,19.615,179.26,53.304,311.458,453.179,390.944,1.0,255.895,20.159,186.934,317.055,51.582,96.427,40.96,86.142,31.273,129.584,88.025,41.61,350.65,374.587,1.0,482.772,644.192,29.957,-76.227486,68.854,-24.955128,7.857165
dense,955,9012,16561,673.34,201.86,0.21,0.75,505.649,571.857,491.58,253.647,84.637,665.16,343.123,171.159,202.349,38.937,313.187,200.8,318.143,577.629,424.576,29.543,38.23,208.97,220.675,342.197,400.6,361.234,51.711,254.312,244.592,164.874,396.622,228.62,144.14,180.82,6.676,31.273,60.347,67.759,114.707,431.521,280.499,60.573,524.484,356.808,305.043,-80.312164,65.47417,-23.153168,14.07572
dense,956,13151,16560,211.63,82.93,0.39,0.78,109.139,535.159,714.571,383.448,168.274,703.796,345.86,162.926,210.093,46.524,375.625,257.886,1.0,136.893,300.7,29.543,75.46,168.119,42.843,296.089,449.674,370.519,6.071,225.815,105.005,141.238,272.852,26.291,57.66,14.32,1.0,1.0,40.564,64.183,122.829,598.021,274.964,1.0,140.735,352.247,44.435,-81.22025,65.304794,-20.431477,12.338233
dense,957,13317,16569,482.24,153.24,0.26,0.79,186.381,567.78,734.641,397.355,126.456,816.022,384.178,217.816,198.477,59.17,658.43,222.207,64.429,59.765,324.676,29.543,25.82,168.119,63.764,283.794,407.611,368.662,1.0,130.823,96.795,182.207,286.113,19.968,96.427,7.66,3.838,1.0,55.401,72.527,90.341,700.3,391.191,1.0,282.555,516.466,73.391,-81.8107,65.81528,-20.761496,12.647091
dense,958,9319,16593,407.2,121.72,0.35,0.82,536.546,473.996,623.145,172.522,66.051,565.812,239.118,113.525,82.314,41.466,724.54,198.421,80.286,217.695,396.604,29.543,32.025,160.691,48.073,302.237,418.126,368.662,1.0,168.819,187.115,172.752,412.093,19.968,102.391,54.28,15.19,23.705,119.693,61.798,49.732,514.771,452.072,1.0,474.43,648.753,22.717,-78.85739,68.44038,-22.042038,12.527673
dense,959,11538,16614,398.96,121.28,0.34,0.79,304.82,498.461,533.949,191.065,79.991,486.702,386.915,86.08,78.442,38.937,305.842,272.157,80.286,114.857,316.684,43.814,13.41,164.405,42.843,277.646,512.768,340.809,2.69,160.903,225.433,182.207,330.316,57.905,90.463,47.62,12.352,31.273,139.475,72.527,41.61,253.129,277.731,1.0,474.43,594.014,15.478,-76.30333,67.008,-22.232004,11.96431
dense,960,9061,16631,261.87,96.77,0.35,0.79,835.216,522.927,614.225,281.462,84.637,727.713,589.452,173.904,206.221,38.937,401.335,196.043,207.143,485.809,516.484,29.543,50.64,164.405,74.225,360.64,477.716,452.221,1.0,195.734,296.595,199.539,389.991,45.259,111.337,107.56,3.838,38.841,164.203,78.488,74.098,471.957,454.839,17.039,614.165,568.925,58.913,-79.96621,67.14471,-23.329538,13.425556
dense,961,8927,16661,385.67,165.19,0.18,0.64,387.211,584.09,672.203,374.176,307.67,617.326,471.762,162.926,353.36,41.466,551.919,215.071,127.857,526.21,780.22,15.271,19.615,156.978,68.995,354.492,428.642,426.225,1.0,173.569,239.118,199.539,398.832,32.614,132.212,134.2,6.676,38.841,119.693,86.833,57.854,548.071,554.463,90.36,484.858,587.171,29.957,-83.177986,67.38501,-23.25338,13.48151
dense,962,9341,16679,261.02,95.21,0.36,0.8,474.753,551.469,500.5,246.694,70.698,505.099,499.132,105.291,152.012,51.582,445.408,196.043,104.071,386.643,452.548,15.271,32.025,179.26,58.534,369.862,421.632,348.236,1.0,176.735,39.318,205.842,378.94,32.614,129.23,74.26,12.352,114.523,114.748,82.064,33.488,533.8,452.072,1.0,453.574,598.575,37.196,-79.98595,67.85695,-23.06853,12.527439
dense,963,9512,16718,318.16,154.27,0.17,0.61,613.789,571.857,554.018,290.733,154.335,551.094,334.912,64.124,62.953,49.053,515.191,191.286,64.429,122.202,432.568,15.271,32.025,156.978,58.534,305.311,432.147,377.946,1.0,162.487,129.638,212.145,394.412,32.614,117.301,40.96,15.19,31.273,109.802,61.798,33.488,498.121,405.028,1.0,461.916,603.137,15.478,-78.379715,67.81648,-22.340796,12.434388
