class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7_Park7,DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
diffuse,1000182,4872,2448,284.9,125.27,0.23,0.75,54.784,59.765,197.006,382.798,181.558,317.887,1.0,170.765,311.704,82.885,345.336,23.2,81.149,64.52,147.15,14.573,78.936,17.478,272.467,231.538,45.929,302.22,27.118,175.429,219.056,136.598,649.331,445.256,22.407,30.154,71.795,557.438,254.478,369.563,52.395,16.113,211.673,3.76,620.535,346.549,21.266,-7.070822,42.047523,-5.0747476,0.6746089
diffuse,1000183,4245,2459,191.73,78.66,0.39,0.79,31.897,89.147,462.563,448.383,202.645,310.726,49.29,157.706,423.903,142.934,511.128,12.1,75.424,70.295,132.35,6.429,86.021,50.435,337.62,254.14,48.571,321.564,193.618,286.429,188.629,153.202,551.469,546.537,11.704,28.21,24.598,560.026,306.664,482.718,78.093,14.602,136.918,1.0,368.849,347.894,10.537,-16.37051,32.62704,-3.1572597,-2.246616
diffuse,1000184,4520,2489,313.89,112.97,0.31,0.75,52.495,59.765,320.301,341.808,200.009,171.081,1.0,144.647,313.862,121.098,379.345,12.1,32.487,197.335,108.3,6.429,199.383,27.777,212.745,190.855,36.679,212.407,14.059,205.701,206.378,100.623,657.486,436.048,4.568,28.21,8.866,616.964,261.933,343.699,65.244,20.648,96.143,3.76,283.663,300.834,17.69,-4.2606792,37.307846,-3.274649,1.5464987
diffuse,1000185,3923,2512,251.43,118.76,0.22,0.75,31.897,59.765,522.63,398.023,213.189,128.113,34.199,66.294,365.646,99.262,417.604,12.1,58.249,122.266,165.65,3.715,149.787,93.691,234.462,258.661,41.964,240.041,20.588,299.403,226.662,133.831,551.469,585.668,4.568,22.379,24.598,466.855,269.388,450.388,65.244,11.579,123.327,6.519,345.616,397.642,8.153,-15.2286415,36.82093,-1.6352834,-0.3273004
diffuse,1000186,4794,2545,529.57,206.6,0.16,0.67,52.495,59.765,219.136,351.177,168.379,231.952,13.073,164.235,322.492,137.475,345.336,12.1,55.387,180.012,141.6,14.573,64.766,27.777,234.462,222.498,38.0,266.295,23.853,145.156,193.701,144.9,571.857,401.521,22.407,35.984,126.858,616.964,284.299,408.359,58.82,19.136,170.898,14.798,690.233,346.549,21.266,-5.9518175,41.526276,-5.0801163,1.2102025
diffuse,1000187,3732,2530,345.73,136.14,0.23,0.72,41.052,89.147,427.788,319.556,197.373,156.758,10.054,92.412,328.965,66.508,307.077,12.1,52.524,64.52,184.15,6.429,149.787,42.196,207.315,227.018,35.357,212.407,17.324,267.688,191.165,100.623,551.469,502.802,4.568,18.492,16.732,461.679,261.933,379.262,52.395,14.602,123.327,14.798,423.058,407.054,10.537,-12.645386,41.82918,-2.9315498,0.0669866
diffuse,1000188,4290,2546,229.11,130.9,0.17,0.59,34.186,59.765,547.921,338.294,194.737,214.048,85.508,105.471,372.119,164.77,574.894,12.1,61.112,70.295,113.85,3.715,107.277,25.718,239.891,240.579,32.714,248.332,36.912,282.104,178.487,158.737,478.073,541.933,11.704,22.379,48.197,391.801,343.94,456.854,49.183,7.045,116.531,1.0,477.267,362.684,6.961,-18.175209,36.19182,-2.0017881,-0.74782145
diffuse,1000189,3472,2556,268.2,192.17,0.09,0.54,49.062,89.147,396.174,335.952,210.553,108.419,19.109,92.412,346.227,170.23,328.332,23.2,52.524,133.815,210.05,11.859,93.106,38.076,239.891,254.14,34.036,217.934,14.059,256.156,213.985,100.623,486.229,528.122,8.136,24.323,16.732,327.098,299.209,382.495,87.73,7.045,116.531,14.798,295.279,403.02,8.153,-19.88353,43.268627,-2.240675,-0.71263623
diffuse,1000190,2858,2572,574.49,231.46,0.13,0.64,71.948,89.147,487.854,359.375,164.425,368.016,16.091,105.471,408.799,317.623,353.838,45.4,32.487,93.393,202.65,41.72,426.106,110.169,305.043,340.027,44.607,228.988,53.235,346.974,381.33,97.856,751.269,576.461,11.704,47.646,8.866,666.137,343.94,550.612,103.791,5.534,150.51,9.279,469.523,478.315,14.113,-26.143213,17.498276,-2.4676516,-4.0456343
diffuse,1000191,1613,2571,372.16,147.38,0.22,0.71,60.505,89.147,516.307,292.619,149.927,110.21,305.831,46.706,410.957,235.738,426.106,12.1,29.625,220.434,191.55,14.573,93.106,31.897,250.75,217.977,32.714,222.079,30.382,326.792,264.695,158.737,498.461,465.972,15.271,28.21,32.465,430.622,276.843,421.291,87.73,8.557,130.122,6.519,558.581,515.962,10.537,-36.025833,11.762585,0.9507731,-0.5515645
diffuse,1000192,5137,2827,13735.13,2084.29,0.04,0.59,43.34,118.529,367.722,326.583,198.691,246.274,19.109,112.0,350.542,219.361,345.336,34.3,69.699,116.491,145.3,17.288,142.702,44.256,294.185,299.344,51.214,263.531,46.706,254.714,244.411,108.925,612.633,505.104,29.543,53.477,32.465,591.083,306.664,443.922,90.942,17.625,150.51,3.76,512.116,393.608,35.572,30.915253,-4.035904,-0.6950726,8.533081
diffuse,1000193,3885,2570,224.07,94.15,0.32,0.79,62.794,89.147,383.528,321.898,189.466,149.597,4.018,79.353,378.592,432.262,404.851,23.2,66.837,58.746,163.8,22.717,163.957,106.049,326.761,430.434,40.643,249.714,72.824,289.312,295.122,103.391,461.763,551.141,22.407,37.928,8.866,399.565,276.843,579.709,110.215,16.113,123.327,3.76,411.442,425.878,11.729,-37.45398,34.442287,-0.733471,-2.9788969
diffuse,1000194,4716,2661,1623.54,386.03,0.14,0.73,71.948,206.676,250.75,325.411,200.009,174.661,13.073,112.0,318.177,197.525,426.106,23.2,46.799,168.462,213.75,33.576,107.277,44.256,250.75,267.701,49.893,237.278,17.324,210.026,254.553,133.831,567.78,482.085,36.679,51.533,24.598,497.912,299.209,408.359,87.73,82.613,157.306,12.039,512.116,373.44,68.951,-1.0709915,23.512936,-2.2779171,2.745932
diffuse,1000195,3332,2653,620.46,199.8,0.2,0.74,45.629,118.529,411.981,317.213,181.558,128.113,142.852,85.882,316.019,164.77,417.604,23.2,49.662,197.335,189.7,11.859,142.702,38.076,256.179,254.14,36.679,233.133,17.324,248.948,226.662,108.925,559.624,488.991,8.136,18.492,24.598,505.676,269.388,379.262,68.457,11.579,102.939,14.798,364.977,432.6,14.113,-12.882088,36.090157,-1.3851792,0.44038206
