class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,Neurofilament,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,UMAP_1,UMAP_2,TSNE_1,TSNE_2
diffuse,1000580,19123,13077,2829.43,616.9,0.09,0.67,130.295,100.107,57.616,205.341,90.031,322.712,129.996,63.438,142.501,473.353,32.614,46.262,38.698,106.885,19.197,1.0,398.361,6.842,142.273,375.625,853.519,178.832,118.529,358.064,241.158,85.207,316.206,4.949,114.683,140.395,137.227,125.305,28.386,101.262,38.74,188.124,209.261,48.965,136.667,95.024,765.044,302.068,22.857,4.585,6.73,481.88,95.483,5.306,79.91,-8.101075,8.321581,-3.8535452,1.3261317
diffuse,1000581,22569,13057,2302.21,439.13,0.15,0.74,273.957,88.214,43.005,167.5,91.188,248.21,137.162,13.487,148.161,457.065,32.614,24.709,75.05,5.604,17.377,1.0,375.975,15.605,110.318,583.75,378.921,147.45,104.138,486.842,137.421,12.483,153.519,4.949,129.773,53.801,42.625,128.726,21.242,109.718,36.52,73.435,221.192,29.118,70.889,110.694,714.571,493.658,1.0,32.069,12.461,297.3,63.989,2.077,113.052,-4.361351,2.181323,-5.1616416,-0.3754315
diffuse,1000582,21282,13056,1531.8,429.31,0.1,0.63,228.648,60.464,57.616,177.231,46.094,109.366,131.429,13.487,91.561,500.5,26.291,17.165,23.888,5.604,6.459,1.0,535.479,1.0,150.682,544.017,378.921,126.529,134.12,371.723,212.737,8.655,168.771,1.0,128.767,108.715,42.625,101.356,30.768,87.975,3.22,13.073,217.938,40.695,165.444,91.106,740.678,461.726,1.0,1.0,12.461,409.019,36.274,1.0,100.427,-6.1302605,1.2719498,-4.894696,-0.78763145
diffuse,1000583,21727,13058,1287.33,370.91,0.12,0.67,233.069,115.964,43.005,212.909,48.406,119.525,127.129,13.487,87.316,549.364,26.291,24.709,21.195,1.0,4.639,1.0,423.546,15.605,123.773,561.045,408.217,105.607,126.924,371.723,197.105,12.483,171.313,1.0,128.767,120.331,38.841,109.339,28.386,78.311,54.28,37.218,250.479,27.464,66.778,48.012,737.197,594.014,1.0,2.195,6.73,243.869,36.274,1.0,97.27,-5.2329063,1.0327148,-5.6047583,-0.96272945
diffuse,1000584,22407,13023,206.44,72.98,0.49,0.85,336.947,24.786,37.527,146.958,91.188,254.983,148.628,13.487,139.671,462.495,32.614,27.942,61.586,5.604,11.918,1.0,353.588,3.921,106.955,600.778,458.021,27.152,93.345,560.986,131.737,1.0,115.389,1.0,146.876,51.689,16.136,125.305,24.814,112.134,12.1,43.254,232.039,32.425,21.556,126.365,704.129,420.671,2.286,16.535,4.82,305.395,55.17,1.0,102.005,3.786232,-1.4245749,-4.4351244,-1.330917
diffuse,1000585,21165,13040,350.77,118.53,0.31,0.71,193.285,135.786,39.353,179.393,71.531,143.231,118.529,13.487,97.221,486.022,32.614,22.553,31.966,1.0,11.918,1.0,331.202,9.763,118.727,506.176,463.88,84.686,135.319,287.822,167.263,54.586,156.061,3.632,147.882,122.443,65.33,121.884,20.051,66.231,1.0,19.109,234.208,19.194,54.444,44.094,758.082,347.685,1.0,1.0,16.281,572.551,55.17,2.077,127.256,4.942375,-5.6764603,-3.448391,-2.2845745
diffuse,1000586,21954,13043,311.97,152.67,0.17,0.62,224.228,262.643,44.832,222.64,99.281,312.553,140.029,13.487,152.407,350.288,32.614,15.01,79.089,5.604,10.098,2.321,367.58,1.0,123.773,553.477,226.581,48.073,104.138,440.014,164.421,131.138,163.687,4.949,171.021,48.521,35.057,191.449,24.814,84.351,1.0,10.054,250.479,34.079,66.778,91.106,780.707,438.918,1.0,34.459,6.73,85.194,67.768,2.077,117.787,0.049201965,-0.85240173,-6.803401,-0.86704355
diffuse,1000587,23325,13038,296.41,180.27,0.11,0.61,228.648,68.393,46.658,133.984,47.25,7.773,161.528,13.487,201.932,552.984,45.259,22.553,38.698,10.207,11.918,1.0,244.454,3.921,170.864,491.04,191.425,48.073,138.917,637.082,107.579,35.448,166.229,3.632,185.106,32.681,27.489,105.918,18.861,115.758,402.82,127.761,245.055,29.118,70.889,200.8,730.235,215.397,7.429,16.535,4.82,405.781,62.729,14.995,78.332,22.187069,1.3927402,0.4025037,-0.49940398
diffuse,1000588,25230,13086,959.37,252.92,0.19,0.74,376.73,306.25,55.79,110.198,66.906,1.0,135.729,38.462,95.806,487.832,32.614,22.553,29.274,14.811,8.279,2.321,420.748,18.526,113.682,589.426,674.812,53.304,120.928,428.307,126.053,4.828,275.534,3.632,162.973,22.121,50.193,118.462,16.479,89.183,145.3,130.779,215.769,17.54,132.556,98.941,702.389,498.219,4.857,2.195,4.82,117.577,61.469,11.765,72.019,-2.8809185,7.8229713,-6.683608,0.18799214
diffuse,1000589,22272,13079,287.81,115.51,0.27,0.75,321.476,80.286,53.963,216.153,81.938,251.597,142.895,13.487,145.331,545.745,32.614,25.786,65.625,5.604,13.738,1.0,557.866,3.921,140.591,534.557,446.302,84.686,125.725,521.963,188.579,1.0,173.855,2.316,133.798,47.465,12.352,131.007,27.195,130.254,116.44,10.054,222.277,50.619,144.889,165.541,711.091,356.808,1.0,27.289,6.73,294.062,63.989,2.077,95.692,1.9108543,-1.2199287,-3.987173,-1.4020816
