cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1637,10780,300,165.15,20.546,48.975,59.837,40.756,18.224,1.0,15.127,15.637,126.402,536.329,651.605,34.64,6.525,10.767,253.207,1.0,19.615,109.071,639.164,13.514,1.0,28.611,467.269,107.226,246.44,39.624,467.2,17.113,138.793,2.881,366.776,61.75,206.402,141.122,29.118,223.494,125.875,125.037,451.462,595.11,143.889,16.857,1.0,1.0,64.96,371.831,1.0,4.513,155.051,-36.500237,33.89913,11.372409,-23.566488
1639,5817,14064,58.13,22.717,1.0,190.994,317.01,211.134,79.414,69.618,1.0,205.437,358.237,7.024,102.939,18.681,19.138,26.111,3.425,1.0,85.348,226.78,3.086,2.08,86.342,417.423,433.065,340.761,21.878,79.083,20.566,90.35,93.186,29.843,115.75,95.402,260.075,211.055,199.02,231.538,72.517,511.904,297.038,60.842,3.265,262.348,159.4,2.015,646.325,75.502,12.712,122.374,4.2548504,36.890392,0.8147063,-15.520263
1640,24071,6605,114.84,172.567,13.699,162.801,95.803,78.509,2.568,69.618,134.566,166.446,72.658,255.017,123.327,41.888,95.877,13.01,1.0,123.031,36.584,355.65,1.0,1.0,46.181,322.923,388.903,255.568,15.614,119.272,2.151,94.656,8.525,179.299,38.8,215.738,138.098,229.248,145.621,172.703,234.547,604.277,287.882,157.323,1.0,243.791,1.0,13.183,367.872,2.693,2.171,5.668,6.0740347,26.44263,4.3565154,-19.565369
1641,22789,8718,167.85,109.587,13.699,244.928,194.684,26.836,137.441,47.418,32.104,208.598,448.864,9.032,62.163,9.841,28.905,43.58,1.0,748.699,90.62,337.093,1.0,1.0,129.013,261.654,384.129,441.169,27.097,273.141,14.811,83.891,283.203,238.295,41.5,317.402,102.815,272.252,127.822,261.556,586.544,479.973,129.181,331.965,3.265,157.19,10.0,52.777,253.059,6.08,1.0,159.72,17.780388,-33.62007,-4.4610906,9.343222
1642,12360,4719,63.39,81.354,12.288,52.482,147.792,40.616,16.683,86.773,13.808,128.509,515.253,5.016,142.695,35.258,69.367,11.918,1.0,38.23,15.497,157.706,5.171,1.0,56.221,225.308,308.935,205.871,13.527,211.134,1.0,109.727,12.288,107.193,3.7,75.692,79.63,15.886,87.773,218.331,175.322,326.017,64.073,274.565,5.531,112.344,4.6,5.061,520.955,133.071,1.0,161.276,12.314098,3.7564678,4.119091,-0.14753449
1643,4677,8292,136.16,402.772,39.097,72.094,169.199,271.419,244.085,55.491,8.319,227.566,329.785,7.024,7.116,115.929,28.905,52.315,7.062,462.236,19.451,220.594,495.286,3.16,103.912,207.654,335.194,256.582,16.658,158.314,18.264,45.137,375.39,20.665,195.4,17.598,62.492,168.051,54.399,200.32,72.517,266.716,61.021,520.04,318.143,1.0,164.8,11.152,497.201,97.514,119.287,249.972,-13.965668,-56.930912,7.279675,20.587187
1645,16801,9368,137.01,767.624,19.343,68.417,84.59,138.793,51.185,102.918,6.489,120.079,78.981,6.02,38.717,29.732,40.067,15.193,2.212,470.509,4.954,210.285,737.215,1.0,194.274,155.731,337.581,224.127,16.658,80.231,9.056,153.864,110.119,14.11,122.5,87.103,97.775,230.902,101.122,218.331,160.795,272.418,174.96,311.203,166.367,59.765,11.8,8.107,357.314,85.661,12.712,95.921,1.4550438,-60.817963,1.580126,23.150301
1646,5454,11891,68.08,196.457,5.233,534.209,133.52,42.338,2.568,105.945,24.786,432.003,319.247,375.499,125.365,3.21,54.02,968.338,2.212,4.102,716.642,630.916,3.086,1.0,36.141,877.462,659.839,919.877,766.169,749.676,571.857,80.662,55.559,398.24,854.2,624.467,269.147,257.366,94.448,181.108,578.721,264.435,959.308,312.424,1.0,423.178,33.4,648.726,348.077,117.832,1.0,103.701,-33.314285,28.924858,14.662529,-22.739864
1652,23735,14724,186.05,1.0,1.0,102.739,43.814,1.0,55.89,36.318,4.659,153.801,114.81,9.032,38.717,55.149,3.791,170.23,2.212,290.565,308.08,103.065,1.0,63.64,1.0,182.731,458.129,22.298,165.934,49.228,143.714,69.897,115.763,18.043,141.4,83.991,219.752,429.379,296.918,51.43,168.617,189.168,231.93,7.106,3.265,109.251,22.6,130.951,612.013,12.853,12.712,29.009,39.595768,-23.785912,10.661061,-0.53792185
1653,15828,9902,174.96,333.276,20.754,416.535,377.154,71.619,21.388,115.027,50.401,127.456,300.278,44.173,80.512,4.315,58.205,52.315,3.425,106.484,45.81,164.923,151.163,1.0,36.141,168.192,342.355,333.662,17.702,347.779,7.906,78.509,68.729,216.008,98.2,753.103,592.739,138.28,110.022,175.105,379.815,357.949,120.025,109.693,78.02,186.573,8.2,9.122,406.143,77.195,2.171,52.35,-4.273443,33.257126,4.7259064,-14.582383
