cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
275,25427,5372,61.4,28.75,22.65,38.872,51.674,71.382,48.471,19.349,21.782,10.218,273.359,20.524,469.646,529.471,22.762,33.687,36.247,18.048,553.313,327.273,104.721,329.703,147.142,530.306,7.009,116.854,267.47,1.0,21.367,374.071,15.005,10.346,46.09,134.611,39.268,63.64,57.054,20.038,194.169,423.098,204.383,30.352,38.505,49.145,18.709,129.706,72.283,552.349,145.579,34.157,67.365685,-7.5171967,19.146214,-8.047152
276,18464,4244,215.61,408.37,31.929,46.037,99.935,86.088,9.439,14.252,41.079,6.761,100.9,31.371,86.057,134.866,1.0,22.451,17.113,543.119,44.269,135.545,2.092,158.906,46.806,90.417,1.0,67.473,31.304,145.536,1.0,424.85,3.334,2.038,1.0,1.0,2.007,4.24,65.773,2.002,54.338,562.421,1.0,47.124,14.638,82.244,5.167,1.0,1.0,4.08,64.253,24.531,23.366089,0.35755348,8.364167,8.10894
279,2033,9690,16.63,1.0,13.372,26.589,3.413,11.505,34.757,9.155,1.0,14.827,268.101,33.541,1.0,508.492,2.036,24.494,14.092,32.823,115.535,1.0,47.948,2.074,79.524,78.083,1.0,42.783,4.135,1.0,4.055,392.724,11.504,268.923,96.191,9.222,6.035,23.68,5.983,14.026,342.649,234.238,31.56,212.75,12.365,22.063,32.251,5.086,154.931,4.08,4.012,28.809,-93.99172,69.68984,15.767131,-21.109755
280,16934,6179,112.14,207.46,28.836,3.047,46.848,25.161,19.988,9.155,23.266,7.913,25.186,12.932,237.825,31.969,3.073,18.365,9.056,307.86,35.361,180.955,23.928,176.094,11.906,72.944,2.502,59.876,17.72,49.887,6.092,126.393,5.668,4.115,2.002,8.194,20.134,33.4,10.965,23.044,81.727,469.539,3.108,40.834,52.143,68.202,4.125,3.043,7.199,6.134,40.157,15.974,10.661888,30.790352,-5.4355607,0.16756842
283,1261,2777,116.26,19.87,13.372,18.401,38.402,1.0,1.0,11.194,15.844,6.761,38.857,12.932,47.698,60.94,1.0,8.15,8.049,471.519,7.363,1.0,23.928,260.955,8.634,23.611,1.0,56.078,11.45,1.0,1.0,103.594,1.0,128.731,1.0,1.0,1.0,5.32,2.246,1.0,5.325,270.358,1.0,352.17,18.048,154.461,1.0,1.0,4.099,6.134,1.0,36.297,-65.20422,-8.3491745,-24.851345,-1.4739212
285,21385,16655,46.19,4.33,24.197,10.212,1.0,73.483,4.165,4.058,1.0,2.152,667.701,6.423,1.0,887.113,4.109,8.15,9.056,1.0,147.35,192.727,3.184,22.484,44.624,50.333,10.014,65.574,1.0,1.0,15.257,762.686,1.0,217.0,20.038,5.111,17.113,22.6,1.0,27.052,1.0,831.78,56.851,33.496,29.413,7.018,2.042,7.129,11.331,4.08,77.306,7.418,-100.36563,74.30348,16.95758,-21.271376
286,12220,2671,183.2,316.24,27.289,43.99,207.315,41.968,19.988,19.349,119.752,10.218,113.519,31.371,136.09,71.929,3.073,15.301,9.056,538.573,64.631,147.318,19.561,190.058,70.799,115.083,4.005,92.163,65.789,54.138,8.128,273.549,8.002,48.769,4.006,13.333,24.162,25.84,18.439,13.024,21.182,434.45,7.323,46.076,22.594,74.22,5.167,5.086,12.364,8.187,20.076,14.905,-4.6457806,10.695488,-7.969364,7.8629675
287,14553,12777,212.48,250.75,61.311,1.0,63.739,29.363,42.141,8.136,14.36,9.066,47.269,10.762,52.701,25.975,5.145,25.515,11.071,238.532,9.908,379.409,31.57,117.013,20.631,64.722,4.005,25.69,3.09,143.411,4.055,284.948,17.339,10.346,17.032,23.611,20.134,16.12,40.86,11.02,284.987,741.994,1.0,55.51,18.048,69.205,11.417,3.043,5.132,7.16,69.273,22.392,40.470062,18.209368,5.4602027,-0.8401282
289,4144,3539,89.4,32.08,7.186,34.778,4.62,26.211,1.0,23.427,115.299,14.827,121.932,33.541,162.775,42.958,1.0,18.365,16.106,343.092,35.361,1.0,18.469,185.761,79.524,19.5,1.0,76.97,12.495,1.0,3.037,133.647,1.0,69.538,14.026,3.056,23.155,38.8,3.491,42.082,11.091,253.846,6.269,444.418,124.881,80.238,9.334,2.021,91.912,6.134,3.008,42.714,-67.39444,-10.411114,-25.89814,-1.9741744
290,14611,9156,407.77,429.46,58.218,14.306,81.837,115.502,36.867,16.291,94.517,11.37,166.098,30.287,202.801,208.792,16.545,30.623,18.12,328.317,331.879,135.545,50.131,30.003,30.447,215.806,7.009,128.249,55.339,41.385,24.422,355.417,13.838,51.885,16.03,47.25,41.282,74.44,9.719,53.104,225.883,359.113,70.551,69.137,89.648,23.066,17.667,97.018,24.761,149.875,60.237,37.366,49.50875,-13.141027,18.470163,-0.47388437
