cell,x,y,area µm²,E3,Vimentin,CD163,P2Ry12,a-Beta,PSD-95,CD11c,HLA-A,TMEM119,CD31,Gal3,HLA-DR,CD8,ATG7,MAP2,GFAP,CollagenIV,CD3e,CD4,NeuN,Neurofilament,CD74,Claudin-5,CD40,CD11b,E1,E10,Synaptophysin,CD34,ApoE,E2,PCNA,Olig2,E4,DAPI_1,H2A.x,E5,E6,E9,S100B,SMA,CD44,CD45,E8,CD68,AQP4,IBA1,CD14,E7,UMAP_1,UMAP_2,TSNE_1,TSNE_2
7570,17190,3447,221.44,6.385,9.549,1.0,1.0,3.646,43.627,86.354,3.532,321.079,30.316,39.503,2.185,3.356,308.812,235.354,5.625,1.0,1.0,59.592,5.43,80.003,80.587,2.12,53.49,113.491,3.625,37.218,314.28,1.0,37.396,1.0,143.242,11.233,10.238,119.001,54.303,1.0,9.084,79.466,194.583,2.032,1.0,205.191,20.15,149.0,104.541,314.206,148.962,13.646,-7.4311943,-104.016365,31.038181,2.49026
7571,4345,9690,137.44,5.039,43.744,2.013,1.0,1.0,42.534,87.556,22.525,396.391,15.658,7.244,49.587,3.356,254.362,14.685,3.312,1.0,1.0,52.268,5.43,90.196,302.719,3.24,45.024,117.619,4.938,28.163,2.345,52.716,24.845,1.0,310.844,164.729,4.959,324.071,147.153,1.0,7.929,43.103,433.382,2.032,112.703,248.005,28.129,76.276,18.067,287.427,225.494,13.646,-56.146294,43.78988,-16.113852,14.648404
7572,7479,7957,173.82,11.771,75.498,1.0,1.0,1.0,9.744,105.588,18.726,473.919,42.719,11.406,51.957,6.89,231.026,16.396,6.781,1.0,1.0,75.705,4.323,108.036,258.768,5.48,90.741,158.9,7.564,41.745,1.0,85.511,9.785,1.0,187.348,81.585,16.836,59.428,116.203,1.0,16.014,75.638,316.102,2.032,131.671,364.373,44.088,157.931,33.997,243.182,210.188,34.195,-52.334126,38.206657,-12.540023,13.379905
7573,3081,462,145.68,33.313,18.098,1.0,1.0,1.0,7.558,245.04,44.049,486.102,37.081,24.934,160.982,1.0,346.594,18.106,11.406,21.437,1.0,105.001,2.108,199.781,36.636,11.08,94.127,267.262,16.753,96.071,1.0,43.886,7.275,1.0,164.192,59.84,20.795,36.515,246.881,1.0,9.084,96.69,677.833,2.032,227.566,560.879,52.067,30.345,39.686,594.811,225.494,42.098,-28.005434,39.016624,-18.003004,4.5431094
7574,14787,17069,87.27,22.542,1.0,1.0,1.0,1.0,8.651,170.505,23.791,251.304,25.806,1.0,86.324,1.0,287.699,24.949,9.094,1.0,2.37,122.579,3.215,59.615,144.732,4.36,26.398,294.095,11.502,40.236,6.378,2.261,2.255,1.0,222.632,148.1,20.795,146.497,123.081,1.0,27.563,156.017,280.777,2.032,114.81,436.827,63.238,43.103,2.138,321.192,112.227,50.002,-57.442383,19.012125,-4.0288806,13.895686
7575,2026,15802,154.35,6.385,47.408,1.0,1.0,7.616,18.488,111.599,7.331,296.713,41.591,42.625,15.221,2.178,247.694,168.64,7.938,16.628,1.0,21.507,43.086,243.105,109.096,6.6,21.319,27.833,3.625,40.236,310.246,9.83,17.315,1.0,130.01,122.517,7.598,19.33,71.497,1.0,12.549,52.672,221.43,2.032,1.0,152.497,13.767,43.103,136.4,254.825,105.084,16.807,-10.013784,-98.0773,26.935095,1.9953504
7576,7852,10750,79.73,3.693,163.429,1.0,1.0,1.0,52.371,28.65,202.319,44.194,51.739,91.534,3.37,41.054,269.919,18.106,4.469,442.195,1.0,47.874,36.441,16.291,1.0,174.593,68.729,22.673,2.313,35.708,17.135,419.773,130.268,1.0,273.354,56.003,6.279,313.76,172.945,1.0,4.465,71.81,788.048,1.0,132.725,91.02,20.15,2.276,52.202,267.633,333.66,4.161,39.714706,-4.750879,-11.817947,-23.93852
7577,7320,2350,54.86,11.771,63.285,37.475,1.0,1.0,30.511,318.372,71.905,609.039,34.826,86.331,83.954,13.959,384.376,28.37,7.938,1.0,1.0,125.509,7.645,192.135,119.787,6.6,67.036,169.22,11.502,59.853,1.0,41.364,32.376,1.0,286.586,162.17,14.197,211.798,166.067,1.0,5.62,41.19,327.406,2.032,241.266,536.727,26.534,81.379,38.548,490.021,419.376,8.903,-30.015223,45.536667,-20.32703,5.736825
7578,2789,3069,101.2,13.117,13.213,1.0,1.0,1.0,2.093,122.419,16.194,323.294,14.53,28.056,10.48,1.0,323.258,12.974,17.188,1.0,1.0,78.635,3.215,230.362,177.993,6.6,9.466,165.092,27.255,126.252,27.891,125.875,13.55,1.0,180.732,22.745,20.795,39.952,236.565,1.0,10.239,117.741,258.168,3.064,287.633,321.558,44.088,15.034,39.686,605.29,288.761,15.226,-42.37829,19.584179,-5.9942064,7.369596
7580,24480,5924,164.16,3.693,1.0,1.0,1.0,2.323,28.325,57.502,4.798,335.477,24.678,4.122,1.0,1.0,231.026,76.267,2.156,1.0,1.0,47.874,97.356,54.518,63.957,1.0,41.637,125.875,1.0,31.181,269.91,4.784,24.845,1.0,156.474,2.279,3.639,61.719,1.0,1.0,2.155,54.586,53.281,1.0,1.0,176.648,12.171,64.793,2.138,230.374,95.9,10.484,-13.646748,-107.93211,30.150269,5.5805
