cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5508,14155,10067,575.2,217.291,2.421,220.978,272.905,156.25,145.199,17.736,41.561,175.322,335.873,162.405,6.081,59.301,72.723,206.803,17.341,32.219,89.265,185.689,191.0,70.318,252.153,92.363,200.59,322.983,55.218,73.032,301.763,40.262,169.121,26.46,2.208,93.71,452.161,87.022,74.045,61.866,8.121,69.197,459.234,51.38,-7.825588,43.541004,-0.05570873,11.113841
5509,10753,2480,62.25,309.304,3.842,216.017,293.046,55.0,541.421,246.888,76.113,260.248,244.85,162.405,9.13,38.817,112.0,230.384,70.723,24.414,166.497,219.269,185.0,138.617,403.687,231.654,56.675,384.821,66.754,115.543,351.713,81.705,220.53,37.371,13.08,106.955,444.105,356.557,155.684,26.14,160.718,174.258,324.967,116.506,-22.09579,-11.633526,-7.5466857,-8.215214
5510,12811,300,55.86,384.587,2.421,2.654,265.856,52.3,242.631,208.267,70.104,222.255,392.06,409.404,90.432,37.241,182.015,256.109,48.935,4.902,398.193,321.058,285.0,125.365,623.972,110.336,41.968,435.997,63.293,52.957,468.617,127.511,295.559,36.159,9.456,93.71,354.141,262.506,226.581,38.049,446.582,124.493,321.271,116.506,-27.603413,-24.92918,-11.745725,-10.289903
5512,11140,10505,222.01,170.687,2.421,131.664,361.526,121.15,195.863,103.99,10.014,255.779,265.078,97.599,3.033,4.151,82.969,376.161,44.577,90.754,91.271,102.789,123.0,63.183,308.277,129.807,197.438,219.565,60.986,69.489,386.784,10.816,169.121,9.487,1.0,127.767,409.194,126.018,97.677,27.464,15.242,8.373,405.035,90.701,-5.7652035,47.581196,1.8493598,9.444947
5513,5531,5513,253.56,149.177,3.842,171.359,336.35,157.6,232.238,113.001,37.054,274.775,347.11,147.732,9.13,15.181,48.815,189.652,20.61,73.193,89.265,187.788,108.0,64.202,313.889,164.255,282.527,208.903,88.672,126.17,331.52,38.081,159.395,19.186,177.365,129.659,524.669,246.449,43.968,20.848,4.052,142.924,396.412,57.524,16.699677,47.060978,5.078131,14.439609
5514,6011,14644,361.01,66.724,1.0,186.245,321.244,44.2,228.341,71.805,11.516,236.782,229.118,109.826,4.049,1.0,19.785,37.444,18.431,106.363,142.425,93.345,120.0,71.338,339.145,125.313,200.59,188.646,50.604,65.947,291.135,10.816,158.006,3.425,1.0,93.71,503.185,269.388,138.497,15.555,8.121,109.747,241.203,100.531,13.25489,65.08191,7.6714582,1.4921678
5515,3672,17075,99.21,207.731,1.0,4.308,296.068,172.45,788.248,120.726,245.868,909.487,253.84,189.306,3.033,314.566,69.308,16.006,78.349,2.951,26.075,736.608,714.0,51.969,466.826,339.492,114.451,250.483,380.528,132.074,759.815,264.928,701.273,449.58,1.0,14.244,1.0,54.907,22.484,221.971,135.285,2.843,424.744,15.745,29.38041,-13.481745,-19.497744,2.4924862
5516,9610,17887,413.74,75.089,1.0,287.137,199.39,34.75,219.247,58.932,14.52,91.513,256.088,56.024,28.439,1.0,84.677,58.882,6.447,92.705,50.148,158.405,182.0,22.407,280.215,39.942,111.3,173.719,48.297,67.128,275.194,11.906,126.049,14.336,3.416,33.165,340.714,53.76,37.523,8.939,7.104,220.338,223.958,12.059,6.137474,79.87691,13.124205,0.834274
5517,9862,10679,70.07,85.843,1.0,2.654,21.141,9.1,516.739,141.323,22.032,3.235,423.524,70.698,3.033,7.303,202.508,26.725,83.796,2.951,37.108,87.048,80.0,44.834,1.0,270.595,2.05,133.205,3.307,57.681,13.753,7.544,45.462,59.194,2.208,131.551,150.044,217.775,61.155,8.939,93.575,1.0,1.0,61.21,-48.38817,33.45656,8.071933,-11.153544
5518,4826,15256,464.34,55.969,1.0,131.664,285.997,23.95,212.752,119.438,110.665,207.728,289.8,144.064,18.277,78.21,38.569,26.725,11.894,8.805,144.431,157.356,232.0,74.396,235.316,131.304,185.883,197.175,148.658,136.798,250.75,29.356,202.467,54.345,1.0,35.057,432.02,275.123,151.387,51.281,12.19,104.218,259.681,104.218,14.848576,62.874855,6.8927274,0.6619043
5519,136,2028,84.71,162.322,5.263,91.969,252.764,131.95,108.824,73.093,8.511,309.416,256.088,74.366,2.016,24.636,79.554,253.966,42.398,22.463,83.247,102.789,126.0,43.814,155.34,177.735,173.278,227.028,45.99,32.883,226.306,34.809,148.28,11.911,11.872,69.114,194.355,276.27,11.742,27.464,7.104,17.589,460.466,16.974,3.306406,50.536522,4.165955,4.1062517
5521,12638,852,386.73,332.008,3.842,14.232,321.244,144.1,408.914,204.405,88.131,339.587,311.151,413.072,9.13,76.634,173.477,245.391,84.885,6.854,230.69,203.528,231.0,116.191,483.663,215.178,117.603,383.755,78.29,42.33,317.704,111.152,359.473,31.309,10.664,125.875,264.177,337.059,237.323,48.634,300.09,93.159,418.584,127.565,-25.219538,-23.404377,-10.520289,-10.399819
5522,4990,9585,96.36,120.498,3.842,12.578,133.931,34.75,468.672,103.99,2.502,98.218,483.082,76.812,4.049,10.454,98.338,48.163,58.739,2.951,86.256,172.047,109.0,49.931,69.751,337.994,17.808,184.381,19.457,44.691,105.151,14.087,144.111,14.336,2.208,110.739,226.581,566.45,71.897,11.585,36.606,19.432,36.723,80.871,-47.070385,30.100134,6.9781723,-11.252564
5525,5217,12385,139.0,140.812,1.0,265.636,293.046,71.2,93.235,177.37,2.502,176.44,286.429,148.955,13.195,1.0,45.4,166.071,1.0,24.414,115.343,159.455,115.0,60.124,214.27,27.96,236.306,216.366,60.986,86.021,391.035,12.997,85.755,3.425,1.0,69.114,446.79,117.99,76.194,16.878,15.242,146.611,444.453,56.295,-8.889797,53.47903,4.5683107,10.779124
5526,10896,11291,48.04,133.642,1.0,1.0,2.007,1.0,406.316,609.927,4.005,66.93,456.112,115.94,38.602,56.15,120.538,63.17,95.78,2.951,289.867,209.825,141.0,99.881,1.0,652.522,60.877,354.968,80.597,80.117,175.294,87.158,459.512,111.326,3.416,277.239,57.395,177.631,104.123,302.685,135.285,1.0,1.0,26.804,-46.113987,26.555592,5.322357,-12.248587
5527,15209,12093,145.26,168.297,1.0,1.0,1.0,1.0,111.423,1.0,5.507,198.789,584.218,1.0,730.687,1.0,1.0,1.0,5.358,10.756,102.304,502.599,439.0,168.18,3.806,312.532,2.05,767.575,126.74,1.0,57.327,3.181,506.752,198.618,1.0,21.812,1.0,1.0,1.0,11.585,27.45,1.0,104.472,5.915,-51.919273,-63.39135,-19.754728,-14.938264
5528,7225,15311,105.89,23.705,1.0,168.051,298.082,23.95,111.423,57.644,7.009,146.268,160.57,113.494,4.049,1.0,11.246,26.725,1.0,12.707,131.392,75.505,89.0,59.105,252.153,45.933,206.893,120.411,44.836,75.394,275.194,2.091,199.688,1.0,1.0,69.114,320.573,83.581,91.232,18.201,5.069,168.729,374.239,68.583,1.4268436,69.31332,9.565935,4.5554123
5530,515,3587,28.28,93.013,3.842,9.27,145.009,13.15,670.031,188.956,5.507,121.685,151.58,115.94,4.049,7.303,190.554,56.738,70.723,4.902,51.151,116.431,74.0,66.241,120.263,182.228,6.252,173.719,43.682,82.479,57.327,9.725,537.32,28.885,5.832,52.085,128.56,332.471,65.452,12.909,124.095,2.843,13.318,44.007,-50.36432,34.34117,9.099391,-11.551694
5531,182,15886,140.14,144.397,1.0,1.0,109.762,3.7,534.926,231.439,43.063,163.03,276.315,528.012,8.114,2.576,253.738,18.15,55.471,1.0,144.431,229.763,227.0,48.911,581.879,74.39,29.363,297.395,131.355,136.798,283.696,12.997,112.154,106.477,2.208,48.301,171.528,109.961,84.787,8.939,319.419,205.592,173.454,3.458,-76.91301,48.787395,17.624487,-10.8813
5532,8791,15920,192.3,49.994,1.0,128.356,171.193,64.45,198.462,6.149,4.005,189.849,263.954,74.366,3.033,4.151,26.615,37.444,21.699,69.291,82.244,108.036,138.0,36.679,278.812,141.789,128.107,156.661,18.304,210.011,335.771,5.362,52.409,2.212,453.993,131.551,423.964,174.191,114.865,15.555,1.0,107.904,273.231,3.458,26.869392,57.15489,8.454864,15.74909
5533,1284,6528,127.06,96.598,3.842,58.889,132.924,26.65,436.195,47.345,4.005,166.383,238.108,37.683,3.033,23.06,84.677,39.588,78.349,1.0,84.25,96.493,133.0,64.202,44.496,312.532,13.606,165.19,11.382,65.947,40.322,39.171,367.809,4.637,5.832,72.898,164.815,450.607,67.6,10.262,31.519,67.354,9.623,47.694,-47.140106,31.39523,7.4686866,-10.906553
5534,12478,1684,64.38,377.417,3.842,1.0,499.493,528.85,603.778,152.91,221.832,919.544,198.777,514.562,21.326,435.896,129.077,256.109,108.853,26.365,72.214,652.659,284.0,70.318,611.344,546.181,26.211,342.174,450.896,158.053,666.291,416.523,346.968,224.078,13.08,65.33,11.742,65.23,104.123,237.849,175.978,1.0,231.349,267.646,30.49406,-15.906513,-20.099356,2.1229308
5535,1609,19191,129.91,93.013,1.0,10.924,20.134,1.0,467.373,181.232,49.072,144.034,280.81,321.365,16.244,1.0,187.138,3.144,9.715,1.0,138.413,324.206,189.0,27.504,407.896,159.762,37.767,208.903,19.457,62.404,227.369,19.54,258.045,14.336,2.208,21.812,188.984,156.986,26.781,6.293,192.255,144.768,39.186,4.686,-73.93973,49.418396,17.795387,-9.319456
5536,13545,5973,285.4,363.078,2.421,19.194,156.087,115.75,173.779,106.564,218.827,142.916,352.729,272.454,270.313,204.267,137.615,56.738,8.626,10.756,174.521,369.329,242.0,97.842,169.371,125.313,69.281,447.725,272.091,80.117,159.352,162.41,128.828,175.583,5.832,31.273,221.21,74.405,71.897,116.117,57.969,17.589,243.667,187.775,9.356844,-17.203362,-18.16209,-12.559722
5539,12942,1799,172.97,271.065,8.105,24.156,345.413,98.2,559.609,191.531,50.574,357.466,304.408,356.825,101.611,41.968,185.431,449.049,95.78,6.854,409.226,416.55,305.0,80.512,357.385,317.025,32.514,373.093,64.447,109.638,358.089,89.34,209.414,27.672,14.288,127.767,281.633,429.962,340.445,30.11,245.155,189.004,263.376,234.469,-20.43879,-25.019814,-9.613548,-12.102134
5540,1804,10816,160.89,229.24,1.0,168.051,300.096,130.6,198.462,40.909,19.027,265.836,322.388,102.49,6.081,4.151,18.077,187.509,12.984,86.852,115.343,185.689,136.0,68.28,215.673,116.327,176.429,248.351,40.222,82.479,324.081,20.631,116.323,2.212,8.248,141.011,503.185,291.18,93.381,28.787,6.087,181.631,371.776,93.159,6.3208637,42.24829,1.0634308,5.940372
