cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2656,1453,2986,28.71,125.418,3.035,197.645,22.929,224.768,1.0,28.865,97.215,5.036,54.482,53.052,1.0,97.546,1.0,15.17,16.626,439.501,8.239,1.0,22.969,22.659,206.468,5.206,1.0,50.861,45.133,1.0,1.0,80.325,1.0,221.645,1.0,1.0,2.214,2.311,2.179,1.0,9.752,229.966,2.175,231.538,30.984,12.0,8.992,1.0,2.148,25.975,13.617,65.844,40.91161,35.142838,-0.74209994,13.611122
2657,14495,10494,56.0,448.659,159.701,1.0,89.935,887.586,22.021,80.466,15.33,381.427,791.118,490.49,322.152,83.318,13.134,32.377,356.223,86.168,649.419,41.217,116.625,289.329,770.24,254.431,4.226,106.064,434.301,3.671,13.932,137.34,18.49,127.4,21.736,311.404,43.485,11.488,8.077,29.543,458.615,645.648,500.5,49.669,11.903,18.0,55.945,428.331,4.445,289.711,87.022,153.991,-78.35476,-55.863045,13.746248,-16.563904
2658,2884,9559,62.39,151.033,53.9,9.413,50.95,198.255,32.031,10.288,1.0,13.109,122.091,654.654,323.422,7.098,27.289,30.353,87.462,4.453,444.655,223.0,109.688,371.902,567.809,256.534,3.151,65.107,171.512,1.0,17.165,27.029,19.519,53.112,24.176,166.311,25.277,29.843,17.512,26.948,404.851,407.142,206.676,95.777,51.427,38.0,21.979,265.809,18.224,306.694,88.169,42.541,-78.63463,-69.53581,18.44094,-19.870564
2659,16673,14693,371.38,93.703,62.039,126.138,29.021,372.178,16.015,20.608,33.754,109.982,149.336,31.03,12.424,54.863,7.067,9.097,32.251,14.811,58.913,221.391,4.469,117.415,86.021,35.702,1.0,43.738,2.003,193.321,8.544,59.254,1.0,1.0,8.319,14.082,16.78,19.354,6.897,24.353,1.0,512.085,32.733,27.896,73.233,9.0,34.966,20.321,5.593,11.989,35.409,31.396,23.513622,-32.403538,-3.6770108,-23.311125
2660,2092,3324,71.78,72.967,3.035,281.772,60.696,238.554,3.002,74.274,269.174,10.082,182.636,101.1,3.539,55.879,1.0,25.292,80.17,370.446,12.376,2.609,110.844,187.805,289.465,7.309,1.0,68.668,107.319,1.0,1.0,71.649,3.058,187.273,1.0,1.0,2.214,15.421,10.436,4.892,234.809,353.989,30.382,126.515,39.161,21.0,172.828,1.0,5.593,15.985,48.025,93.2,27.34668,28.119228,3.7059283,15.370644
2661,13476,9271,154.78,47.352,17.277,270.204,9.528,208.86,11.01,24.737,7.141,9.073,99.891,70.069,6.078,47.749,2.011,20.231,99.962,45.886,6.171,94.304,19.5,129.598,151.812,7.309,1.0,152.364,13.036,83.805,3.155,62.973,3.058,172.859,2.22,2.189,22.849,41.642,4.538,16.569,87.272,404.416,4.526,56.073,70.508,24.0,45.955,1.0,4.445,12.988,19.351,35.448,6.961319,36.887306,1.291556,7.289958
2662,9170,16415,286.11,162.011,73.229,165.046,4.655,257.643,31.03,11.32,9.189,88.791,250.245,32.031,36.543,20.309,5.045,6.061,36.418,11.358,59.947,242.304,5.625,79.512,172.055,47.269,27.884,34.834,5.012,43.738,3.155,38.184,1.0,1.0,2.22,24.786,8.283,15.421,12.795,8.784,6.001,309.014,30.382,6.123,17.355,9.0,15.985,22.594,2.148,35.965,43.437,41.527,21.960716,-39.171696,-2.5796492,-25.776852
2663,20940,2141,137.87,258.374,35.589,358.537,155.723,438.99,32.031,26.801,134.064,10.082,228.045,116.115,1.0,128.035,4.033,10.109,35.376,269.165,1.0,409.609,1.0,220.293,275.295,12.567,2.075,49.08,157.47,302.837,2.078,91.48,10.26,1.0,1.0,18.839,16.78,33.776,157.868,10.082,83.521,446.666,10.402,26.615,29.621,44.0,98.902,1.0,3.297,9.991,151.251,61.791,-38.12018,11.456043,-15.373128,4.674335
2664,11575,5512,148.95,44.912,21.346,404.806,103.337,213.102,24.023,14.416,279.41,10.082,171.536,90.089,28.926,43.684,7.067,25.292,113.505,302.541,20.649,1.0,212.594,312.341,261.125,11.516,5.301,84.695,112.334,3.671,24.709,82.804,12.317,176.185,11.978,40.246,26.491,71.795,6.897,34.732,234.809,370.344,39.785,56.073,44.613,32.0,36.964,22.594,20.521,10.99,31.968,62.804,29.153557,31.95081,4.7614927,15.482163
2665,9942,9948,91.96,214.462,31.519,322.783,159.378,296.882,61.06,32.993,95.168,9.073,92.827,75.074,2.269,28.439,8.078,22.255,32.251,284.127,15.478,382.261,47.25,26.72,233.796,25.186,8.527,114.968,46.136,238.73,20.398,38.184,15.404,40.916,19.297,58.086,43.485,56.063,12.795,56.788,314.829,537.98,26.856,52.231,30.984,27.0,41.959,20.321,13.631,19.981,76.699,66.857,-54.117268,30.524319,-20.263496,-6.1637297
2667,14068,15191,92.95,108.341,52.883,96.694,80.189,172.803,39.038,18.544,91.074,2.009,74.664,18.017,9.886,40.635,10.1,9.097,8.292,89.621,10.307,498.087,1.0,19.951,83.997,15.722,1.0,22.369,2.003,337.561,9.621,34.465,1.0,1.0,14.418,29.543,20.422,29.843,39.922,26.948,1.0,439.851,8.052,27.896,26.895,13.0,8.992,10.092,6.741,13.987,64.083,11.132,34.489746,-40.848564,-6.7707477,-29.35873
2668,6893,1696,113.99,92.484,19.312,254.431,172.779,218.404,27.026,30.929,422.709,6.045,146.309,114.113,30.196,160.555,5.045,17.195,102.046,296.787,49.606,41.217,47.25,129.598,232.784,33.599,2.075,27.711,109.325,3.671,16.087,110.072,19.519,94.137,71.747,30.732,20.422,52.13,6.897,36.03,109.777,363.529,30.382,250.75,89.588,26.0,47.953,5.546,80.231,13.987,43.437,39.501,69.6848,43.71026,16.905855,23.173159
2669,12326,4123,91.25,30.275,16.26,463.695,131.357,354.15,18.017,82.53,279.41,9.073,145.3,126.125,16.233,52.83,2.011,27.316,98.921,287.579,21.683,2.609,102.75,424.695,223.675,9.413,3.151,57.984,248.744,1.0,6.388,56.775,11.288,239.385,4.659,10.514,32.56,29.843,3.359,11.379,142.285,329.457,42.135,49.669,26.895,39.0,136.864,6.683,18.224,6.994,48.025,75.976,34.268555,35.537865,8.416094,15.292204
2670,13644,7795,111.71,47.352,25.415,316.474,71.661,384.904,13.012,69.114,113.592,12.1,133.191,86.085,4.808,41.651,3.022,23.267,235.385,202.411,5.137,13.87,25.281,290.683,180.152,14.671,2.075,91.818,215.645,25.04,5.311,59.254,7.173,177.294,2.22,2.189,38.629,75.728,4.538,24.353,256.064,423.497,29.207,45.827,50.064,30.0,203.797,2.137,2.148,11.989,43.437,74.962,27.961601,37.075603,7.042014,13.206424
2671,17989,13404,127.49,208.363,39.658,75.662,94.809,250.22,15.014,19.576,7.141,9.073,302.718,45.044,1.0,2.016,12.122,34.401,83.295,1.0,3.068,226.217,7.938,48.378,127.52,13.619,5.301,82.914,7.018,94.489,21.476,8.437,17.461,2.109,14.418,30.732,83.542,82.283,23.41,65.87,274.819,458.932,17.454,45.827,73.233,26.0,43.957,8.956,27.41,8.992,126.018,37.475,-44.17573,45.10535,-14.184138,-10.80638
2672,7069,4419,156.91,94.923,9.138,247.069,77.752,307.487,12.011,25.769,342.871,9.073,169.518,143.142,40.351,129.051,3.022,23.267,38.502,301.391,28.922,1.0,164.031,278.5,338.049,14.671,4.226,91.818,112.334,1.0,18.243,81.565,9.231,232.733,66.868,23.596,43.485,44.264,4.538,39.922,249.812,324.005,62.115,432.619,40.524,27.0,50.95,13.502,91.714,12.988,45.731,75.976,65.68019,34.97758,19.522326,17.951292
2673,19830,5144,182.07,316.923,53.9,135.602,86.28,349.908,16.015,19.576,70.602,236.118,421.791,124.123,111.436,105.677,9.089,24.28,60.377,220.826,113.724,110.391,17.188,149.902,131.568,200.8,53.692,193.321,55.163,78.463,9.621,243.933,12.317,15.414,1.0,31.921,20.422,19.354,13.974,32.138,188.547,649.737,97.374,67.6,85.499,16.0,35.965,36.232,9.038,98.902,67.524,94.213,-21.159912,32.814144,13.478574,-4.437252
2674,10884,6847,128.63,92.484,20.329,248.121,89.935,255.522,23.022,56.729,277.363,13.109,92.827,96.095,17.502,60.96,7.067,30.353,151.006,327.862,36.161,1.0,146.688,267.671,268.21,18.877,7.452,91.818,112.334,3.671,37.641,61.733,10.26,377.981,14.418,45.004,37.416,88.839,4.538,23.056,236.059,401.69,52.713,58.635,75.959,41.0,73.927,28.276,25.114,14.986,52.613,85.094,27.362984,28.862484,4.578445,16.154842
2675,16418,13146,144.55,231.538,29.485,159.788,21.711,454.898,20.019,22.673,37.848,7.055,224.009,77.076,3.539,20.309,3.022,24.28,49.96,15.962,12.376,229.435,12.562,191.866,233.796,25.186,2.075,31.273,92.274,161.267,6.388,153.453,10.26,2.109,11.978,22.407,25.277,56.063,50.537,11.379,248.562,600.673,15.104,47.108,52.79,20.0,75.925,3.273,13.631,4.996,111.108,87.121,-35.306396,36.10618,-11.337554,-5.498492
2676,19043,9463,150.09,176.648,33.554,234.451,77.752,250.22,49.048,32.993,109.498,9.073,101.909,78.077,7.347,48.765,12.122,24.28,20.792,121.847,4.102,274.478,36.844,72.744,168.006,35.702,4.226,109.626,38.111,326.877,9.621,2.239,19.519,9.87,7.099,36.679,22.849,36.398,31.666,23.056,299.825,472.561,16.279,57.354,56.879,30.0,80.92,6.683,4.445,12.988,101.932,35.448,-53.616615,41.26544,-20.833752,-11.304319
2677,8796,3605,85.42,188.846,17.277,274.411,125.266,277.793,16.015,51.569,324.447,8.064,100.9,160.159,17.502,111.774,2.011,23.267,20.792,482.085,38.23,1.0,254.219,352.951,238.857,31.496,3.151,34.834,129.386,1.0,16.087,121.227,6.144,320.325,46.132,29.543,31.346,45.575,3.359,19.164,126.031,370.344,40.96,431.338,28.258,29.0,17.983,11.229,88.269,14.986,27.38,57.738,67.274414,37.129482,19.00427,18.53944
