class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,ATG7,P2Rx7_Park7,GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
diffuse,1001504,14069,14393,597.37,172.46,0.25,0.79,475.209,442.225,84.422,81.212,2.148,33.324,97.645,11.101,80.202,198.255,29.303,2.05,202.208,115.639,231.803,52.693,21.881,52.545,11.823,18.418,134.74,356.721,114.603,16.207,130.577,130.003,38.178,134.413,205.801,800.853,325.903,5.292,81.968,56.621,10.737,270.815,49.048,2.425,54.518,5.151,30.444,-41.271606,47.1111,-11.688496,-2.3297584
diffuse,1001505,2287,14417,1010.32,263.51,0.18,0.77,189.103,691.975,61.764,46.835,1.0,22.212,92.558,8.071,23.177,50.314,25.11,2.05,95.568,70.288,138.793,26.245,18.584,41.5,8.576,10.222,111.437,250.217,106.404,11.528,101.318,92.85,10.594,62.904,129.596,538.044,131.568,5.292,91.493,44.624,6.842,170.062,28.027,5.275,58.482,2.384,9.413,29.722225,44.516705,-6.1296926,-9.907575
diffuse,1001506,19986,14412,470.66,202.5,0.14,0.65,89.519,88.413,30.867,34.335,92.862,49.485,26.433,25.243,188.973,75.766,18.821,2.05,43.254,149.653,125.014,189.74,17.485,39.045,18.317,16.369,73.949,439.793,77.125,5.679,76.238,35.057,50.17,23.413,87.921,138.118,155.86,9.584,56.963,36.99,28.263,253.738,17.016,5.275,2.982,1.0,22.032,-53.044594,-14.459934,-2.9349337,16.160303
diffuse,1001507,1975,14435,1413.47,390.6,0.12,0.72,219.136,577.506,62.794,54.127,1.0,33.324,96.627,81.809,53.801,55.086,24.062,2.05,136.816,137.055,131.903,29.852,35.069,62.364,55.117,15.345,123.595,254.478,155.593,11.528,151.477,98.01,60.964,101.327,201.038,503.765,134.605,5.292,121.261,104.608,10.737,212.754,50.049,2.425,22.804,14.837,52.527,28.87825,41.88454,-5.9391108,-9.649766
diffuse,1001508,19085,14446,1153.95,279.05,0.19,0.76,470.467,619.131,88.541,94.754,2.148,40.394,157.666,20.192,88.65,147.35,35.593,3.101,140.84,46.352,63.007,34.661,11.99,39.045,9.659,18.418,192.492,735.872,78.297,9.189,46.979,98.01,20.188,114.135,203.42,90.779,280.356,7.438,22.433,39.171,16.579,301.554,18.017,1.0,32.714,5.151,19.928,-26.640247,15.6751175,-3.4231892,5.2733197
diffuse,1001509,2714,14486,1507.42,446.78,0.09,0.67,255.492,583.75,50.435,54.127,3.297,35.344,119.008,19.182,71.754,91.674,31.4,3.101,143.858,115.639,142.238,88.758,39.465,53.773,11.823,10.222,124.609,267.258,141.539,12.698,189.096,105.235,35.779,75.712,197.466,667.0,104.24,6.365,130.787,89.34,12.684,303.262,50.049,1.0,22.804,5.151,40.96,29.91046,41.72685,-6.933363,-10.29891
diffuse,1001510,1833,14478,390.43,135.17,0.27,0.73,215.975,435.981,47.345,51.002,1.0,42.415,86.454,25.243,34.793,13.726,27.207,2.05,126.755,87.924,252.472,11.819,24.079,56.227,15.07,9.197,102.318,314.119,109.918,12.698,67.879,90.786,36.978,63.971,166.508,500.5,55.657,8.511,93.875,80.615,12.684,262.277,33.032,2.425,22.804,5.151,33.599,27.400362,45.04267,-6.61771,-9.334846
diffuse,1001511,17439,14534,2890.76,463.52,0.17,0.81,426.207,510.906,100.9,94.754,1.0,41.404,178.012,36.354,79.146,148.941,39.786,3.101,106.634,74.067,207.69,27.448,16.386,36.591,17.235,25.591,131.701,586.768,79.468,11.528,122.218,119.683,57.366,123.74,226.043,113.632,407.888,8.511,47.437,54.44,16.579,323.754,14.013,1.0,18.839,5.151,27.289,-26.55479,18.95959,-4.2789183,3.5842476
diffuse,1001512,18764,14572,1157.07,448.98,0.07,0.57,530.533,610.806,103.99,88.504,3.297,35.344,161.735,14.131,116.107,274.611,36.641,3.101,113.677,50.131,107.79,51.491,10.891,37.818,7.494,19.443,174.255,684.751,67.756,10.358,113.858,100.074,16.591,120.538,195.085,129.956,365.377,7.438,27.195,34.809,10.737,345.954,12.011,1.0,28.75,2.384,17.825,-25.346348,17.567505,-3.3360682,3.83392
diffuse,1001513,13655,14554,760.25,229.64,0.18,0.78,446.756,429.737,66.913,71.836,1.0,30.293,154.614,43.425,90.762,201.436,37.689,3.101,163.979,167.29,131.903,37.065,38.366,42.727,42.129,14.32,142.846,531.386,147.395,15.037,113.858,128.971,89.747,122.673,259.383,565.794,237.845,6.365,159.364,183.132,14.632,233.246,38.037,2.425,14.875,20.371,51.476,-41.87995,42.036266,-11.116665,-1.1981438
