cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5287,7646,3869,194.29,232.447,3.24,165.374,304.696,156.4,118.383,2.287,21.949,228.184,299.846,138.624,6.045,27.33,22.857,217.45,17.359,19.748,124.619,146.968,200.199,100.697,214.201,33.453,266.23,289.173,45.0,80.305,362.761,39.047,111.416,3.342,8.638,66.628,535.745,277.083,42.975,28.814,10.119,221.901,366.238,123.426,-9.501242,-32.458378,1.2620271,11.316833
5288,15407,2389,105.03,467.436,2.12,90.272,373.627,130.282,441.809,138.749,36.351,179.502,249.683,197.605,27.236,19.586,49.857,340.244,100.246,137.592,132.659,212.188,167.166,128.164,471.261,78.606,63.954,320.125,52.0,72.019,272.32,85.79,171.882,8.027,13.22,115.241,389.905,190.599,162.603,18.384,31.396,52.104,357.136,152.809,6.329218,-67.64302,-9.744296,-7.4901977
5289,2572,18059,111.14,127.351,1.0,19.421,160.84,1.0,691.559,276.497,71.702,203.843,278.5,757.93,5.036,2.549,447.143,63.438,50.078,1.0,80.397,274.302,248.247,30.502,713.701,132.225,45.377,225.135,104.0,113.447,222.422,22.741,58.837,87.666,2.528,37.46,195.453,227.189,93.345,13.748,125.622,104.856,213.771,14.467,-13.473728,45.53267,19.826473,-19.476824
5291,4939,10086,82.01,150.968,3.24,74.685,271.729,101.553,115.885,170.933,8.856,144.004,334.0,143.539,3.018,7.195,58.857,221.612,6.453,6.357,132.659,79.678,91.09,49.831,215.42,10.877,171.284,139.75,47.0,74.386,329.495,6.435,61.466,8.027,4.055,44.752,319.416,146.249,114.332,20.702,17.211,68.589,370.789,81.801,-21.443802,-14.761868,9.291804,10.390729
5292,8305,7044,61.26,149.787,4.36,299.991,334.666,249.118,100.9,3.575,11.474,238.326,310.519,159.513,4.027,22.684,44.714,269.481,19.54,23.765,92.458,134.545,140.139,64.073,181.307,13.699,418.97,168.567,50.0,171.445,416.817,32.524,123.246,8.027,489.807,73.92,601.372,149.575,84.95,28.814,6.066,241.683,459.539,83.026,-45.091667,-34.31293,9.50843,23.899761
5293,15612,7245,55.29,185.213,3.24,57.681,273.727,153.788,68.432,49.92,12.784,154.146,248.615,179.173,10.082,38.172,43.429,252.831,12.997,6.357,157.785,121.087,203.202,66.108,187.399,5.233,169.22,197.385,34.0,81.488,324.298,24.915,148.221,3.342,4.055,77.566,562.482,56.438,74.456,33.45,8.092,261.465,531.221,103.838,-16.015049,-42.804752,-1.7038841,15.804232
5295,12467,18191,212.77,235.989,1.0,83.187,206.794,97.635,200.8,106.564,29.805,171.388,454.606,160.742,5.036,44.367,169.429,171.663,76.252,7.696,125.624,162.496,321.321,31.519,238.567,95.538,187.796,391.635,77.0,92.141,449.043,81.442,131.133,59.558,4.055,49.613,657.277,227.189,129.023,46.198,15.185,40.564,427.68,12.018,5.944416,-33.90483,-5.348854,8.314765
5297,3702,13736,115.27,55.319,2.12,179.545,257.743,83.271,95.905,87.254,10.165,131.834,255.019,105.446,7.055,4.098,11.286,32.219,2.091,10.374,90.448,140.756,132.131,64.073,197.145,12.288,178.508,89.587,39.0,62.55,288.953,10.783,96.957,2.171,2.528,16.799,415.427,90.81,95.443,14.907,9.105,197.173,311.623,89.147,25.519646,2.7520638,12.992949,2.3765278
5298,13383,9474,253.98,232.447,2.12,192.298,308.692,168.153,190.81,2.287,33.733,126.762,275.298,173.03,30.264,41.27,65.286,229.938,11.906,13.052,208.036,216.328,133.132,64.073,248.313,56.03,260.038,279.567,48.0,85.039,339.891,55.353,152.164,22.081,62.101,52.044,438.518,83.049,76.555,42.722,9.105,104.856,517.567,75.68,-17.091015,-36.610054,2.6803916,15.127778
5299,10362,669,46.48,233.628,3.24,5.251,282.718,40.176,540.46,105.277,79.558,236.297,235.808,406.498,5.036,47.465,96.143,242.425,99.155,6.357,112.558,130.404,132.131,55.935,382.326,513.199,4.096,239.01,35.0,15.204,177.722,40.134,62.78,22.081,10.165,126.179,148.055,84.158,179.393,13.748,261.388,94.965,122.746,162.603,14.019571,-78.030396,-11.28768,-11.84575
5301,16878,5371,40.51,252.521,2.12,243.311,256.744,267.4,68.432,65.369,1.0,206.885,351.077,235.697,33.291,25.781,42.143,290.294,19.54,19.748,147.734,213.223,352.352,76.281,258.06,5.233,242.494,300.913,32.0,80.305,593.539,72.745,161.366,8.027,2.528,88.504,733.843,241.603,38.777,27.655,5.053,160.906,555.115,124.651,-6.5421886,-47.064415,-5.5010586,15.576551
5303,6270,11697,201.54,286.766,5.48,168.209,281.719,79.353,112.139,230.152,8.856,254.553,459.942,164.428,13.109,4.098,66.571,200.8,43.534,29.122,159.795,213.223,157.156,81.368,178.871,218.297,170.252,264.625,37.0,90.957,426.173,26.002,223.146,15.054,2.528,124.964,600.157,379.09,162.603,23.02,47.606,170.797,424.267,96.493,5.9965153,-29.930536,-5.55174,7.4182034
