cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2805,15929,3725,156.77,14.82,21.141,70.318,160.715,62.079,546.011,237.334,106.894,136.293,52.442,129.86,245.755,113.004,230.858,162.096,170.427,22.399,249.751,48.655,237.977,216.764,61.619,272.797,31.102,156.233,121.143,149.082,175.88,83.917,287.729,703.321,44.343,64.461,181.978,188.759,191.336,20.089,51.689,170.969,107.108,24.065,49.387043,10.137531,-9.052945,16.504045
2806,11404,4446,132.46,12.846,42.625,273.177,157.583,18.599,179.674,298.223,189.811,149.281,293.189,297.246,304.696,346.043,239.699,216.808,276.836,266.799,256.744,94.546,192.321,156.899,45.858,437.611,279.441,98.647,132.664,198.811,158.392,234.766,293.418,299.837,45.4,110.522,167.5,168.35,36.754,25.18,70.698,168.656,121.783,21.182,29.356558,-3.044941,19.86897,6.066678
2808,9777,13304,180.65,10.872,46.653,40.756,121.047,4.106,135.848,123.811,153.847,102.74,46.269,51.481,114.886,33.517,104.878,156.017,91.912,11.136,79.921,9.825,27.089,141.933,21.61,226.534,16.051,16.023,15.812,51.834,28.325,69.931,351.446,35.523,32.714,78.791,117.86,119.37,40.96,13.726,36.905,114.312,64.214,28.39,-46.828613,16.476395,8.164121,-13.958796
2810,10139,10737,235.22,10.872,38.597,50.95,136.705,28.951,339.244,167.156,123.877,121.14,29.807,97.977,177.823,49.776,132.506,151.965,131.17,15.641,139.861,2.765,131.446,97.034,34.947,227.98,81.898,23.534,89.873,88.302,46.906,50.95,360.549,92.701,36.943,112.569,103.382,117.329,159.788,22.634,36.905,110.844,77.759,29.831,-48.0651,21.988003,5.9654994,-15.242145
2811,15548,501,328.6,12.846,2.343,55.028,91.818,78.642,744.912,53.633,17.983,46.458,50.384,34.211,21.979,47.969,99.353,42.541,110.508,10.01,86.914,64.541,72.745,73.337,20.398,199.065,32.983,157.485,53.666,178.919,91.719,63.937,307.072,862.988,26.371,1.0,157.158,41.817,58.837,4.818,1.0,139.75,57.441,13.974,23.243023,-32.797077,-20.350761,4.9479375
2812,6071,13990,3.13,6.923,13.085,124.346,190.987,7.211,1.0,351.888,260.74,46.458,371.381,157.758,24.976,57.002,68.41,239.098,83.647,236.39,5.995,1.0,46.656,22.202,13.124,1.0,986.831,41.06,22.395,5.42,1.0,151.849,440.196,1.0,10.514,1.0,162.329,131.615,30.444,9.908,1.0,182.531,59.698,19.74,-69.786446,39.79605,0.09584565,-30.265278
2813,13923,7697,220.58,10.872,21.141,61.144,148.188,9.282,340.368,192.957,179.821,149.281,44.211,8.971,205.795,109.391,195.496,183.373,168.361,20.147,223.777,25.71,127.098,104.517,33.734,395.685,29.22,83.624,53.666,174.499,175.88,104.896,290.005,632.118,42.229,139.181,145.783,142.84,196.594,22.634,106.603,125.875,95.82,31.273,23.33141,21.597134,3.3959286,16.076054
2814,2985,13019,356.18,12.846,18.456,84.59,104.345,33.092,12.237,562.421,124.876,80.011,50.384,28.898,190.81,13.646,125.875,148.925,90.879,11.136,136.864,9.825,104.27,58.371,27.672,174.488,531.542,101.15,40.499,48.519,35.976,80.92,231.976,120.751,40.114,70.602,157.158,115.288,37.805,16.271,5.224,160.563,104.851,35.597,-57.504753,-3.0355377,17.205029,-10.659057
2816,11181,8587,121.66,4.949,22.484,208.955,122.091,160.426,275.191,145.483,100.9,107.069,233.517,148.459,163.837,105.778,157.923,196.545,191.089,175.572,112.888,2.765,146.665,134.449,33.734,210.631,83.78,33.549,206.725,104.878,97.184,72.928,293.418,40.917,36.943,110.522,65.118,113.247,39.908,23.907,39.017,110.844,63.085,32.714,-52.728218,17.997044,6.885467,-16.669802
2817,13405,4520,164.02,10.872,41.282,39.737,149.232,6.176,306.656,177.476,149.851,163.351,32.894,64.766,209.791,116.617,227.543,134.74,160.096,22.399,189.811,83.956,203.192,140.685,45.858,317.615,8.525,27.289,81.644,182.235,205.391,85.915,202.393,401.247,47.514,200.595,119.929,135.697,214.471,25.18,74.922,122.406,92.434,32.714,18.458769,25.956987,3.9676015,14.191888
2818,16892,7881,117.4,72.075,34.569,87.648,110.608,23.775,127.982,118.651,178.822,161.186,54.499,43.511,220.78,76.873,154.607,142.846,156.997,119.258,184.816,2.765,174.928,151.91,34.947,210.631,64.966,46.068,50.374,121.455,122.323,76.924,203.531,280.418,46.457,151.464,144.748,137.737,27.289,20.089,85.482,154.781,91.305,15.416,12.613281,35.74538,4.516859,9.694961
2820,19943,305,210.92,18.769,5.028,73.377,124.179,142.827,594.332,191.925,34.966,85.423,66.846,27.569,77.923,116.617,120.35,56.725,98.111,13.389,57.943,246.337,133.62,125.719,30.097,158.585,34.864,190.034,32.27,311.53,149.648,119.881,737.165,820.914,31.657,1.0,251.267,118.349,77.765,7.363,1.0,201.031,98.078,39.922,27.944149,-37.34617,-21.205849,13.705059
2822,3998,7060,266.92,4.949,19.798,28.523,123.135,6.176,59.434,206.373,97.903,98.411,25.692,147.13,104.896,64.228,183.34,111.437,151.831,39.293,110.89,85.721,132.533,92.045,30.097,317.615,78.136,32.297,45.437,89.407,66.58,33.967,530.083,112.12,48.571,97.215,44.435,37.735,63.043,16.271,87.594,55.344,30.349,41.364,-18.106619,-0.9373083,2.7700393,-3.169244
2823,10070,11209,255.55,8.897,19.798,49.931,125.223,37.233,174.055,242.494,141.859,115.728,34.952,23.584,193.807,53.389,151.292,167.162,113.607,16.768,172.828,2.765,135.794,82.067,33.734,233.763,25.458,51.075,99.748,89.407,65.487,60.94,480.019,144.485,42.229,119.734,120.963,144.88,106.158,23.907,30.569,133.969,91.305,44.247,-47.38886,11.007767,10.16198,-11.747989
2826,7590,14737,147.81,10.872,18.456,25.465,132.53,1.0,11.114,94.914,171.829,100.575,50.384,14.285,8.992,29.904,69.515,191.479,14.43,7.758,14.986,18.65,36.873,38.416,9.487,152.802,25.458,7.259,15.812,45.204,15.209,104.896,266.11,54.942,17.914,79.815,136.475,159.166,37.805,6.09,32.681,100.437,42.766,18.299,-61.052174,50.041637,-4.9071636,-27.58594
2828,4352,5431,147.96,2.974,43.968,354.728,128.354,48.621,110.002,304.415,90.91,98.411,237.632,38.197,155.845,400.239,202.126,159.057,336.755,376.047,188.812,41.595,177.102,88.303,38.584,297.375,337.763,225.086,160.643,114.824,113.579,166.834,407.199,245.895,45.4,68.555,53.742,84.675,37.805,20.089,62.249,116.625,42.766,22.623,-31.61501,-22.169724,19.260412,3.9337926
2831,19304,4433,172.12,20.743,14.427,76.435,173.241,238.068,311.151,106.267,196.804,181.751,69.932,123.218,284.716,163.586,178.919,179.32,174.559,16.768,152.848,82.191,207.54,144.427,60.407,201.957,46.153,119.929,201.787,226.438,131.067,91.909,268.386,379.671,44.343,14.306,252.301,166.309,108.261,22.634,11.56,382.562,112.753,71.636,27.177713,-62.69407,-11.556628,22.049997
2832,17140,11947,225.56,16.794,30.54,59.105,103.301,88.995,571.857,116.587,155.845,103.822,53.471,43.511,215.785,75.067,122.56,129.674,93.978,12.263,142.858,16.885,137.968,68.348,41.008,402.913,127.051,147.47,45.437,109.299,72.045,59.941,357.136,393.695,40.114,18.401,176.807,138.758,59.888,17.544,47.465,251.906,96.949,8.208,41.770714,33.03796,-5.411219,12.251072
2833,3934,10336,233.52,10.872,17.113,37.698,131.486,2.035,72.919,276.551,100.9,102.74,35.98,71.408,118.882,58.808,168.973,117.516,117.739,21.273,119.881,78.661,135.794,114.494,30.097,311.832,78.136,32.297,35.562,80.566,47.999,79.921,292.28,184.402,45.4,97.215,108.553,73.45,83.023,17.544,22.121,99.281,59.698,44.247,-39.944984,1.4266281,10.30919,-7.9924107
2835,129,14142,156.2,8.897,7.714,25.465,118.959,190.448,77.414,17.512,130.87,67.023,27.75,48.824,10.99,11.839,8.736,187.426,34.059,4.379,3.997,4.53,43.395,25.944,5.85,57.384,501.441,128.692,47.082,35.258,1.0,19.981,544.875,1.0,17.914,2.024,101.314,113.247,11.516,6.09,1.0,105.062,37.122,8.208,-71.376465,46.729305,0.007629821,-27.912613
2837,10027,6863,233.66,6.923,19.798,33.62,142.969,3.07,276.315,171.284,94.906,151.445,15.404,19.598,112.888,80.486,189.97,136.767,132.203,19.02,126.874,16.885,152.1,54.629,34.947,350.867,14.169,23.534,84.936,141.346,139.811,68.932,205.806,150.958,35.886,168.865,52.708,72.43,49.373,17.544,233.326,44.937,67.6,41.364,-8.027435,15.584816,4.6038547,2.3152957
2838,11828,5791,197.84,6.923,23.827,34.64,123.135,4.106,253.84,200.181,115.885,113.563,24.663,161.743,155.845,143.714,201.021,124.609,128.07,15.641,154.846,39.83,161.884,116.989,34.947,343.638,10.407,14.771,70.124,130.295,144.183,64.936,147.778,421.745,39.057,119.734,75.46,96.92,199.748,20.089,41.129,47.25,68.729,39.922,15.028845,28.69598,3.6533577,12.809065
2839,3324,7660,299.61,6.923,14.427,22.407,112.696,2.035,180.798,136.195,83.917,109.234,27.75,93.992,84.916,55.195,182.235,112.45,115.673,20.147,108.892,145.731,112.966,74.584,27.672,347.975,25.458,58.586,25.687,97.143,67.673,58.942,366.238,244.816,38.0,114.616,96.143,57.124,84.075,12.454,53.801,86.562,47.281,41.364,-12.940327,2.4088573,1.4734259,-1.3670508
2840,18682,10801,126.92,14.82,14.427,71.338,108.52,83.819,516.794,137.227,137.863,118.975,48.326,95.32,229.771,80.486,133.611,138.793,87.78,13.389,162.838,18.65,145.578,49.64,38.584,384.119,51.797,112.417,71.769,118.139,100.463,74.926,342.344,350.542,39.057,63.438,163.363,127.533,30.444,18.817,108.715,224.156,99.207,35.597,40.254913,33.75448,-4.3141932,12.246196
2842,17661,1308,172.4,14.82,3.685,62.163,115.828,258.773,301.037,55.697,26.974,68.105,54.499,39.525,93.907,49.776,98.248,46.593,84.68,10.01,95.905,138.671,84.703,75.831,20.398,158.585,29.22,126.188,109.623,142.451,103.742,103.897,310.485,439.006,30.6,1.0,186.115,59.164,16.774,6.09,1.0,213.75,61.956,29.831,13.026085,-44.43183,-18.121677,10.238781
2843,10885,1722,360.44,12.846,3.685,61.144,95.994,170.778,505.557,143.419,26.974,48.623,45.24,32.883,66.934,140.101,128.085,30.382,155.964,15.641,177.823,163.382,71.658,129.461,51.92,287.255,29.22,235.102,93.165,167.868,129.974,60.94,427.68,634.275,60.2,3.047,156.124,55.083,92.487,8.636,3.112,174.438,55.183,45.688,21.781185,-30.395683,-19.213528,5.313018
2844,5422,10906,284.4,14.82,19.798,58.086,153.408,15.493,102.136,368.401,106.894,102.74,38.038,27.569,160.84,42.55,168.973,174.255,135.302,38.167,147.853,18.65,140.143,72.09,34.947,233.763,74.373,89.883,140.893,90.512,92.812,82.918,276.351,85.149,50.686,147.37,113.724,113.247,72.507,21.362,13.672,117.781,80.017,87.494,-48.49492,-1.7939129,13.865029,-9.407695
